datetime,zip,zri
2019-01-01,01013,130.58713219931383
2019-02-01,01013,252.8073344029135
2019-03-01,01013,366.41825526257617
2019-04-01,01013,480.2703201776592
2019-05-01,01013,600.271214575442
2019-06-01,01013,710.3639636734492
2019-07-01,01013,822.5134037294558
2019-08-01,01013,934.6978323566664
2019-09-01,01013,1049.903855258482
2019-10-01,01013,1152.1232057321254
2019-11-01,01013,1288.350781727302
2019-12-01,01013,1416.5834343564952
2019-01-01,01020,133.2044665530359
2019-02-01,01020,250.0128842618533
2019-03-01,01020,359.14102126665966
2019-04-01,01020,475.4384110781707
2019-05-01,01020,595.8253998376833
2019-06-01,01020,703.2598204338647
2019-07-01,01020,808.7193504669312
2019-08-01,01020,918.1921729184419
2019-09-01,01020,1030.6720321023554
2019-10-01,01020,1127.1556163873947
2019-11-01,01020,1252.6411726642032
2019-12-01,01020,1378.1277728728187
2019-01-01,01040,-29.769012487551663
2019-02-01,01040,-59.62832685987223
2019-03-01,01040,-79.43595837033513
2019-04-01,01040,-92.66442145982955
2019-05-01,01040,-103.57393282726741
2019-06-01,01040,-126.30779545882831
2019-07-01,01040,-146.94492721771599
2019-08-01,01040,-169.52878867163156
2019-09-01,01040,-188.08331383080076
2019-10-01,01040,-217.62168330642544
2019-11-01,01040,-204.1511557446754
2019-12-01,01040,-205.6757285280255
2019-01-01,01085,2.3466621254929123
2019-02-01,01085,11.322680321927237
2019-03-01,01085,20.046216319997257
2019-04-01,01085,36.597761748431594
2019-05-01,01085,45.03214740783983
2019-06-01,01085,53.386723973601875
2019-07-01,01085,65.68693468083097
2019-08-01,01085,81.95011143066313
2019-09-01,01085,97.18806069329048
2019-10-01,01085,121.40882502199815
2019-11-01,01085,137.11788299440377
2019-12-01,01085,152.81896661098608
2019-01-01,01104,112.26820643955398
2019-02-01,01104,218.2995751106714
2019-03-01,01104,318.804960285423
2019-04-01,01104,424.60476732282086
2019-05-01,01104,533.5874461221476
2019-06-01,01104,638.6837105126085
2019-07-01,01104,742.8505253608178
2019-08-01,01104,849.0611606182761
2019-09-01,01104,950.299013675989
2019-10-01,01104,1036.5537722958225
2019-11-01,01104,1136.8190313245022
2019-12-01,01104,1242.0908123833397
2019-01-01,01108,77.56470926314273
2019-02-01,01108,159.44824256041397
2019-03-01,01108,249.22930496869003
2019-04-01,01108,342.2873960249169
2019-05-01,01108,438.87138152325247
2019-06-01,01108,528.1444610923493
2019-07-01,01108,615.2136567473515
2019-08-01,01108,698.1491507050991
2019-09-01,01108,773.9969666136553
2019-10-01,01108,824.7872855684141
2019-11-01,01108,911.539899536273
2019-12-01,01108,998.2677875674844
2019-01-01,01109,31.504268866018265
2019-02-01,01109,82.38402746692782
2019-03-01,01109,144.1823181364648
2019-04-01,01109,210.26065466861905
2019-05-01,01109,277.8597037943689
2019-06-01,01109,339.1396820154473
2019-07-01,01109,397.2072485585902
2019-08-01,01109,453.1334085357846
2019-09-01,01109,499.9654314246252
2019-10-01,01109,554.2347854314071
2019-11-01,01109,608.4624195502338
2019-12-01,01109,638.1622799320194
2019-01-01,01420,69.2186258694901
2019-02-01,01420,135.53275736159776
2019-03-01,01420,204.91834543084087
2019-04-01,01420,282.35739676513685
2019-05-01,01420,369.8364489058629
2019-06-01,01420,456.3454293443349
2019-07-01,01420,542.8768019065151
2019-08-01,01420,628.4249280845688
2019-09-01,01420,718.9855891900124
2019-10-01,01420,819.5556288323573
2019-11-01,01420,936.1326854243566
2019-12-01,01420,1052.714992044473
2019-01-01,01440,14.387780296881601
2019-02-01,01440,25.657219411570622
2019-03-01,01440,54.29027603697341
2019-04-01,01440,93.65925505592054
2019-05-01,01440,129.05175565029072
2019-06-01,01440,159.68994329046063
2019-07-01,01440,183.74543701896482
2019-08-01,01440,211.35080962360144
2019-09-01,01440,241.60847132531694
2019-10-01,01440,294.5975322758136
2019-11-01,01440,327.3791037200881
2019-12-01,01440,352.0003930542164
2019-01-01,01453,152.27623216047823
2019-02-01,01453,290.32358426380597
2019-03-01,01453,430.61427534119593
2019-04-01,01453,564.4390658574721
2019-05-01,01453,689.9769863944482
2019-06-01,01453,811.338271846831
2019-07-01,01453,937.5907973892918
2019-08-01,01453,1061.776355952717
2019-09-01,01453,1190.9206807905503
2019-10-01,01453,1334.0396166956516
2019-11-01,01453,1472.1429198172445
2019-12-01,01453,1607.2365973305964
2019-01-01,01545,1.086076288240065
2019-02-01,01545,-45.882614407820256
2019-03-01,01545,-107.5789772765363
2019-04-01,01545,-170.77735319528006
2019-05-01,01545,-209.3220624106225
2019-06-01,01545,-240.10570316833355
2019-07-01,01545,-259.0541801762679
2019-08-01,01545,-272.11637590513124
2019-09-01,01545,-285.2570249321748
2019-10-01,01545,-276.45179802907273
2019-11-01,01545,-285.683910728073
2019-12-01,01545,-303.9417836089824
2019-01-01,01550,-31.838103259627133
2019-02-01,01550,-87.97338372116451
2019-03-01,01550,-139.594560191744
2019-04-01,01550,-178.08996985919202
2019-05-01,01550,-213.99845153909087
2019-06-01,01550,-252.97231425893233
2019-07-01,01550,-300.74941754278257
2019-08-01,01550,-356.1321214328776
2019-09-01,01550,-414.97141592698017
2019-10-01,01550,-473.1549554193824
2019-11-01,01550,-531.5980373066892
2019-12-01,01550,-607.2368003370345
2019-01-01,01602,65.59609134668472
2019-02-01,01602,115.17137982444729
2019-03-01,01602,157.18259703151216
2019-04-01,01602,196.98324641058935
2019-05-01,01602,236.8469343521583
2019-06-01,01602,277.98542812031474
2019-07-01,01602,321.56263241795614
2019-08-01,01602,364.70540703971074
2019-09-01,01602,405.5119395739048
2019-10-01,01602,448.05822574897184
2019-11-01,01602,490.4030851248813
2019-12-01,01602,532.5920431634775
2019-01-01,01603,66.95275829840148
2019-02-01,01603,116.24678784789853
2019-03-01,01603,158.204512668701
2019-04-01,01603,202.67037510780688
2019-05-01,01603,250.18359924652987
2019-06-01,01603,293.08851008337524
2019-07-01,01603,335.6049785564269
2019-08-01,01603,376.8734046645918
2019-09-01,01603,419.9834417284269
2019-10-01,01603,454.9923384512754
2019-11-01,01603,518.9366513601476
2019-12-01,01603,570.8397238600296
2019-01-01,01604,52.12234442258318
2019-02-01,01604,91.95265686436028
2019-03-01,01604,127.98789516802822
2019-04-01,01604,165.61726689204352
2019-05-01,01604,199.14559170227312
2019-06-01,01604,231.81159833529819
2019-07-01,01604,265.80225441838184
2019-08-01,01604,296.2639893011899
2019-09-01,01604,327.3114835557419
2019-10-01,01604,356.03455273901886
2019-11-01,01604,388.50353861976123
2019-12-01,01604,432.7735314807178
2019-01-01,01605,114.41236588318225
2019-02-01,01605,214.6860552227222
2019-03-01,01605,309.5758112147439
2019-04-01,01605,404.9062124922225
2019-05-01,01605,499.55178789382376
2019-06-01,01605,592.4227934357082
2019-07-01,01605,685.4550392072283
2019-08-01,01605,778.6026129984166
2019-09-01,01605,871.8326758318926
2019-10-01,01605,978.1217394365349
2019-11-01,01605,1080.4530036887
2019-12-01,01605,1185.8144522014481
2019-01-01,01610,156.46331910285244
2019-02-01,01610,294.2623320459861
2019-03-01,01610,428.5517227227674
2019-04-01,01610,559.9857464670497
2019-05-01,01610,686.9351108329452
2019-06-01,01610,810.6098623933481
2019-07-01,01610,934.1290156174709
2019-08-01,01610,1062.5600052826858
2019-09-01,01610,1191.9410406019551
2019-10-01,01610,1342.293771293896
2019-11-01,01610,1465.6304643035696
2019-12-01,01610,1597.9580702035769
2019-01-01,01702,-13.960781542146378
2019-02-01,01702,-34.19066257779696
2019-03-01,01702,-35.061143383761646
2019-04-01,01702,-41.25493568347156
2019-05-01,01702,-57.11188286244578
2019-06-01,01702,-86.80115372607725
2019-07-01,01702,-133.40695790132258
2019-08-01,01702,-166.9712136440653
2019-09-01,01702,-173.51478721675085
2019-10-01,01702,-130.0480655235856
2019-11-01,01702,-158.57621900557615
2019-12-01,01702,-90.10182142865597
2019-01-01,01752,50.27291448375536
2019-02-01,01752,100.20936256512869
2019-03-01,01752,83.43816034071506
2019-04-01,01752,56.53880668962802
2019-05-01,01752,26.56036436059958
2019-06-01,01752,-6.466887561428848
2019-07-01,01752,-26.52426233328788
2019-08-01,01752,-44.60022742778801
2019-09-01,01752,-54.687665543528965
2019-10-01,01752,-35.78218423656335
2019-11-01,01752,16.118927290745432
2019-12-01,01752,53.01734200768806
2019-01-01,01757,21.699384735274407
2019-02-01,01757,16.12700121760622
2019-03-01,01757,-9.714424359545774
2019-04-01,01757,-29.26475488184542
2019-05-01,01757,-39.211089789893094
2019-06-01,01757,-44.37863838054386
2019-07-01,01757,-39.66976008081656
2019-08-01,01757,-37.02991147781495
2019-09-01,01757,-26.428623845275524
2019-10-01,01757,12.151123080677053
2019-11-01,01757,50.71883706153699
2019-12-01,01757,20.279829268112962
2019-01-01,01760,77.44312071924469
2019-02-01,01760,154.28323676273249
2019-03-01,01760,168.76252127126918
2019-04-01,01760,173.02588805669302
2019-05-01,01760,166.16005199081792
2019-06-01,01760,152.21690232352557
2019-07-01,01760,137.2274890257945
2019-08-01,01760,130.210392067464
2019-09-01,01760,132.17672950334463
2019-10-01,01760,217.13315425827295
2019-11-01,01760,195.08364737116244
2019-12-01,01760,314.53059105303146
2019-01-01,01801,21.276244381258948
2019-02-01,01801,13.155451875958079
2019-03-01,01801,-8.066592300787761
2019-04-01,01801,-35.24407283303026
2019-05-01,01801,-73.64833875036038
2019-06-01,01801,-122.1511092342289
2019-07-01,01801,-166.35009137657198
2019-08-01,01801,-190.6551118455991
2019-09-01,01801,-197.34717433064634
2019-10-01,01801,-160.61895314879985
2019-11-01,01801,-123.60255828250047
2019-12-01,01801,-130.38857288639338
2019-01-01,01830,64.52592253078842
2019-02-01,01830,123.1322683266244
2019-03-01,01830,183.79214979791595
2019-04-01,01830,244.48766857571036
2019-05-01,01830,298.20691018139314
2019-06-01,01830,353.9419434564902
2019-07-01,01830,409.6874888351199
2019-08-01,01830,456.4400318476155
2019-09-01,01830,505.1972330029421
2019-10-01,01830,559.9575349627776
2019-11-01,01830,618.7199010475124
2019-12-01,01830,675.4836411664969
2019-01-01,01832,58.22802577065136
2019-02-01,01832,118.86238128877335
2019-03-01,01832,184.6800461790549
2019-04-01,01832,247.22524212920825
2019-05-01,01832,298.8791596311871
2019-06-01,01832,354.90879684849506
2019-07-01,01832,409.50116794024143
2019-08-01,01832,454.7872636789807
2019-09-01,01832,499.85883424328586
2019-10-01,01832,558.780144429099
2019-11-01,01832,617.5962073803889
2019-12-01,01832,671.3385517607171
2019-01-01,01841,-8.178873813327755
2019-02-01,01841,-2.039624327093861
2019-03-01,01841,17.049786821119824
2019-04-01,01841,43.82411658369665
2019-05-01,01841,69.09216602269589
2019-06-01,01841,85.71611047429178
2019-07-01,01841,97.59659981571076
2019-08-01,01841,108.66201807763946
2019-09-01,01841,127.86074129709209
2019-10-01,01841,172.1555566348111
2019-11-01,01841,154.5196394278778
2019-12-01,01841,191.93365327103402
2019-01-01,01843,10.4406641740934
2019-02-01,01843,19.339818009108512
2019-03-01,01843,31.863518857723875
2019-04-01,01843,44.378911948312634
2019-05-01,01843,52.4057422378462
2019-06-01,01843,52.57955817014704
2019-07-01,01843,63.62378808037124
2019-08-01,01843,87.32854979214062
2019-09-01,01843,122.53456983835667
2019-10-01,01843,180.12098022651298
2019-11-01,01843,154.99605775952796
2019-12-01,01843,130.0901963762076
2019-01-01,01844,-6.188420411149764
2019-02-01,01844,-23.763826057768256
2019-03-01,01844,-40.319524564848734
2019-04-01,01844,-53.314107924448535
2019-05-01,01844,-65.10204084647467
2019-06-01,01844,-76.95730375959988
2019-07-01,01844,-89.09166746412507
2019-08-01,01844,-94.6688183666945
2019-09-01,01844,-94.81527645817528
2019-10-01,01844,-105.62883427013571
2019-11-01,01844,-151.18507969319262
2019-12-01,01844,-141.54243773298094
2019-01-01,01845,-27.469751054803965
2019-02-01,01845,-60.79875545988398
2019-03-01,01845,-104.55031761630471
2019-04-01,01845,-155.13951707643287
2019-05-01,01845,-205.87221162243077
2019-06-01,01845,-250.97377728734136
2019-07-01,01845,-290.6102858837262
2019-08-01,01845,-332.9041099928909
2019-09-01,01845,-376.94542174232765
2019-10-01,01845,-427.80066585756117
2019-11-01,01845,-484.51880316132883
2019-12-01,01845,-522.1359111924294
2019-01-01,01850,124.82856951916801
2019-02-01,01850,219.70792387642996
2019-03-01,01850,292.6595079905992
2019-04-01,01850,346.17169535784706
2019-05-01,01850,395.97698782252064
2019-06-01,01850,459.93552698647
2019-07-01,01850,531.9741894612889
2019-08-01,01850,608.0547435068579
2019-09-01,01850,713.1572000884153
2019-10-01,01850,870.771108164251
2019-11-01,01850,1028.3910035249041
2019-12-01,01850,1159.5140292699962
2019-01-01,01851,89.23404322410443
2019-02-01,01851,163.31270372089966
2019-03-01,01851,231.62662828306838
2019-04-01,01851,289.7677582139536
2019-05-01,01851,337.46283344383755
2019-06-01,01851,387.528862980701
2019-07-01,01851,440.8433053087101
2019-08-01,01851,491.3240994316566
2019-09-01,01851,569.9162924868024
2019-10-01,01851,681.583084809723
2019-11-01,01851,793.2998331837689
2019-12-01,01851,909.0500350637112
2019-01-01,01852,124.13994219646702
2019-02-01,01852,226.10954290096515
2019-03-01,01852,311.2106976233722
2019-04-01,01852,384.0116629879426
2019-05-01,01852,450.24542689958525
2019-06-01,01852,521.746855478013
2019-07-01,01852,597.4138215203034
2019-08-01,01852,669.1831643621572
2019-09-01,01852,771.0158222315858
2019-10-01,01852,922.3876373391176
