datetime,zip,zri
2019-01-01,01013,9.792567220732053
2019-02-01,01013,10.963846348724474
2019-03-01,01013,3.3706745655067607
2019-04-01,01013,-4.075991728533154
2019-05-01,01013,-5.431535367545621
2019-06-01,01013,-16.730403053288228
2019-07-01,01013,-25.994019750367897
2019-08-01,01013,-35.2357112370164
2019-09-01,01013,-41.4637658053648
2019-10-01,01013,-60.6833385604491
2019-11-01,01013,-45.89763584531738
2019-12-01,01013,-39.10865192308029
2019-01-01,01020,46.10588269681148
2019-02-01,01020,74.76625731942477
2019-03-01,01020,95.22482990531194
2019-04-01,01020,122.591992111933
2019-05-01,01020,153.9177481089257
2019-06-01,01020,172.2247483124288
2019-07-01,01020,188.52325269386643
2019-08-01,01020,208.81790871812814
2019-09-01,01020,232.1108215499246
2019-10-01,01020,239.40294476687473
2019-11-01,01020,275.69471031155945
2019-12-01,01020,311.9863138412345
2019-01-01,01040,-15.921904607951092
2019-02-01,01040,-31.280740487080948
2019-03-01,01040,-36.33950640489047
2019-04-01,01040,-34.73883549788593
2019-05-01,01040,-30.803677264151702
2019-06-01,01040,-38.69885642205918
2019-07-01,01040,-44.50797730997465
2019-08-01,01040,-52.27344670681464
2019-09-01,01040,-56.016774679321315
2019-10-01,01040,-70.74887181734039
2019-11-01,01040,-42.47527231898425
2019-12-01,01040,-29.19878330551046
2019-01-01,01085,-12.506713715354635
2019-02-01,01085,-18.339795610751935
2019-03-01,01085,-24.395089529381494
2019-04-01,01085,-22.601679396228974
2019-05-01,01085,-28.911281078612774
2019-06-01,01085,-35.2910196963594
2019-07-01,01085,-37.7185119594119
2019-08-01,01085,-36.178517913408996
2019-09-01,01085,-35.66066123706992
2019-10-01,01085,-26.157877076994282
2019-11-01,01085,-25.165355235791594
2019-12-01,01085,-24.179820627966137
2019-01-01,01104,77.53390780148402
2019-02-01,01104,148.48613221460982
2019-03-01,01104,213.69663145266532
2019-04-01,01104,284.06659336405573
2019-05-01,01104,357.5350098739327
2019-06-01,01104,427.06421370012686
2019-07-01,01104,495.63094850892594
2019-08-01,01104,566.2208554980716
2019-09-01,01104,631.8250693319715
2019-10-01,01104,682.4381164221122
2019-11-01,01104,747.0566172945037
2019-12-01,01104,816.6784854122234
2019-01-01,01108,-6.221942298678641
2019-02-01,01108,-8.360127745553427
2019-03-01,01108,-2.7887766297949383
2019-04-01,01108,5.91353243108415
2019-05-01,01108,18.03059895717297
2019-06-01,01108,22.753543216530716
2019-07-01,01108,25.2110721106676
2019-08-01,01108,23.489861253086474
2019-09-01,01108,14.648280955639848
2019-10-01,01108,-19.274360224541624
2019-11-01,01108,-17.251590565526385
2019-12-01,01108,-15.26558310768155
2019-01-01,01109,-12.529455035654792
2019-02-01,01109,-5.9364453521309315
2019-03-01,01109,11.400131715178304
2019-04-01,01109,32.89591344020346
2019-05-01,01109,55.82904118881697
2019-06-01,01109,72.38564509000798
2019-07-01,01109,85.69028203882522
2019-08-01,01109,96.82630458108088
2019-09-01,01109,98.8494916191894
2019-10-01,01109,108.29716997891069
2019-11-01,01109,117.69431849384159
2019-12-01,01109,102.55765281324602
2019-01-01,01420,-3.1753634525339294
2019-02-01,01420,-9.986599650681455
2019-03-01,01420,-14.287183467458817
2019-04-01,01420,-10.964353784453124
2019-05-01,01420,2.068666800187202
2019-06-01,01420,13.878659439182229
2019-07-01,01420,25.517016802350554
2019-08-01,01420,36.023289068190934
2019-09-01,01420,51.42791280720121
2019-10-01,01420,76.75431104452582
2019-11-01,01420,118.02050940186746
2019-12-01,01420,159.24037982943628
2019-01-01,01440,-16.217457104525238
2019-02-01,01440,-34.32603845651465
2019-03-01,01440,-34.14115472600679
2019-04-01,01440,-22.516452800831757
2019-05-01,01440,-14.335895456766593
2019-06-01,01440,-10.507481661625206
2019-07-01,01440,-12.958267668298504
2019-08-01,01440,-11.63041944919678
2019-09-01,01440,-7.478082837420516
2019-10-01,01440,19.535098006344924
2019-11-01,01440,26.437948097292974
2019-12-01,01440,25.2533215770236
2019-01-01,01453,13.479696501490253
2019-02-01,01453,14.662691480531066
2019-03-01,01453,19.213637078355532
2019-04-01,01453,17.95708651658788
2019-05-01,01453,8.801249818840006
2019-06-01,01453,-4.30189555403922
2019-07-01,01453,-12.377473960390489
2019-08-01,01453,-22.43862992344657
2019-09-01,01453,-27.492240374740504
2019-10-01,01453,-18.54190317683242
2019-11-01,01453,-14.589500653761206
2019-12-01,01453,-13.636017597098544
2019-01-01,01545,75.84649288438231
2019-02-01,01545,102.8088421115608
2019-03-01,01545,114.67412032056745
2019-04-01,01545,124.90061240809155
2019-05-01,01545,159.7551616567216
2019-06-01,01545,202.39314158626803
2019-07-01,01545,256.90502076834673
2019-08-01,01545,317.3434758912408
2019-09-01,01545,377.73917874998733
2019-10-01,01545,460.10998845908034
2019-11-01,01545,524.4663037569044
2019-12-01,01545,579.814179465553
2019-01-01,01550,21.936681400607995
2019-02-01,01550,21.29768631868319
2019-03-01,01550,26.352634494161975
2019-04-01,01550,45.325010051601566
2019-05-01,01550,67.40005593329988
2019-06-01,01550,86.73131748723608
2019-07-01,01550,97.44606635783657
2019-08-01,01550,100.64979627506091
2019-09-01,01550,100.42994955263111
2019-10-01,01550,100.85900593159477
2019-11-01,01550,100.99704288060639
2019-12-01,01550,83.89385779392433
2019-01-01,01602,25.549071156220407
2019-02-01,01602,35.650257628934696
2019-03-01,01602,38.70977846427695
2019-04-01,01602,40.01988374709708
2019-05-01,01602,41.79082977361281
2019-06-01,01602,45.17388325815955
2019-07-01,01602,51.277871471444314
