datetime,zip,zri
2019-01-01,01013,5.835838645218246
2019-02-01,01013,3.9457986804418397
2019-03-01,01013,-6.059966775407702
2019-04-01,01013,-15.452021941742032
2019-05-01,01013,-18.4181456629708
2019-06-01,01013,-31.08866150695053
2019-07-01,01013,-41.55401753449564
2019-08-01,01013,-51.876987132181966
2019-09-01,01013,-59.101136718424414
2019-10-01,01013,-79.25670255921113
2019-11-01,01013,-65.36466943626601
2019-12-01,01013,-59.439601352437194
2019-01-01,01020,13.0
2019-02-01,01020,9.0
2019-03-01,01020,-3.0
2019-04-01,01020,-8.0
2019-05-01,01020,-9.0
2019-06-01,01020,-23.0
2019-07-01,01020,-39.0
2019-08-01,01020,-51.0
2019-09-01,01020,-60.0
2019-10-01,01020,-85.0
2019-11-01,01020,-81.0
2019-12-01,01020,-77.0
2019-01-01,01040,-15.42137952834264
2019-02-01,01040,-30.864954426270742
2019-03-01,01040,-36.21545100769163
2019-04-01,01040,-34.96183329291466
2019-05-01,01040,-31.374338236176754
2019-06-01,01040,-39.602318363230324
2019-07-01,01040,-45.72831670380879
2019-08-01,01040,-53.79795251827045
2019-09-01,01040,-57.83643831604786
2019-10-01,01040,-72.85770835707467
2019-11-01,01040,-44.869463723246554
2019-12-01,01040,-31.87596059053817
2019-01-01,01085,-12.639961209604508
2019-02-01,01085,-18.71510845391458
2019-03-01,01085,-25.086190642343126
2019-04-01,01085,-23.658514332489403
2019-05-01,01085,-30.367686146922097
2019-06-01,01085,-37.16991734006638
2019-07-01,01085,-40.03543071563922
2019-08-01,01085,-38.94397720263419
2019-09-01,01085,-38.881787040031895
2019-10-01,01085,-29.83949652327169
2019-11-01,01085,-29.31073815164177
2019-12-01,01085,-28.791181901159234
2019-01-01,01104,-0.21960848643402642
2019-02-01,01104,-6.187129046279324
2019-03-01,01104,-17.274093152307387
2019-04-01,01104,-22.74178953115802
2019-05-01,01104,-24.773974346540854
2019-06-01,01104,-30.499877543182492
2019-07-01,01104,-37.01038248671716
2019-08-01,01104,-41.369404596799086
2019-09-01,01104,-50.62189358277283
