datetime,zip,zri
2019-01-01,01013,5.835601609046307
2019-02-01,01013,3.94523261595009
2019-03-01,01013,-6.0608753814019565
2019-04-01,01013,-15.453247534110687
2019-05-01,01013,-18.419646259502088
2019-06-01,01013,-31.090391142342014
2019-07-01,01013,-41.55593262748198
2019-08-01,01013,-51.87904932942183
2019-09-01,01013,-59.10331377502985
2019-10-01,01013,-79.2589681911029
2019-11-01,01013,-65.3670026910761
2019-12-01,01013,-59.441985807385436
2019-01-01,01020,13.0
2019-02-01,01020,9.0
2019-03-01,01020,-3.0
2019-04-01,01020,-8.0
2019-05-01,01020,-9.0
2019-06-01,01020,-23.0
2019-07-01,01020,-39.0
2019-08-01,01020,-51.0
2019-09-01,01020,-60.0
2019-10-01,01020,-85.0
2019-11-01,01020,-81.0
2019-12-01,01020,-77.0
2019-01-01,01040,-15.421549372987556
2019-02-01,01040,-30.865311730208305
2019-03-01,01040,-36.21596371999567
2019-04-01,01040,-34.96246052731681
2019-05-01,01040,-31.375044588610308
2019-06-01,01040,-39.60307718829995
2019-07-01,01040,-45.72910936307221
2019-08-01,01040,-53.798766548489766
2019-09-01,01040,-57.83726563405321
2019-10-01,01040,-72.85854383500737
2019-11-01,01040,-44.87030416201833
2019-12-01,01040,-31.876804020333566
2019-01-01,01085,-12.640004357068392
2019-02-01,01085,-18.715210282671933
2019-03-01,01085,-25.086352326777842
2019-04-01,01085,-23.658730286758555
2019-05-01,01085,-30.367948231134505
2019-06-01,01085,-37.17021706678884
2019-07-01,01085,-40.03576030579802
2019-08-01,01085,-38.94433000124286
2019-09-01,01085,-38.88215759332934
2019-10-01,01085,-29.839880491392933
2019-11-01,01085,-29.311132154178267
2019-12-01,01085,-28.7915833475015
2019-01-01,01104,-0.22048208965270533
2019-02-01,01104,-6.189226934499402
2019-03-01,01104,-17.277482675570127
2019-04-01,01104,-22.74639033453741
2019-05-01,01104,-24.77964007887499
2019-06-01,01104,-30.50644208556082
2019-07-01,01104,-37.01768456088439
2019-08-01,01104,-41.37729951264646
2019-09-01,01104,-50.6302575898269
2019-10-01,01104,-74.80819176218915
2019-11-01,01104,-84.93335309345457
2019-12-01,01104,-90.02139328627504
2019-01-01,01108,-10.540392628969585
2019-02-01,01108,-16.146615996632136
2019-03-01,01108,-13.490310540265
2019-04-01,01108,-7.344277227159864
2019-05-01,01108,2.4486878323330075
2019-06-01,01108,4.997357385291252
2019-07-01,01108,5.376993631226014
2019-08-01,01108,1.639672102175382
2019-09-01,01108,-9.178575022963287
2019-10-01,01108,-45.052816305847955
2019-11-01,01108,-44.9658011489073
2019-12-01,01108,-44.90559349323871
2019-01-01,01109,-26.395142947421846
2019-02-01,01109,-33.46834012494264
2019-03-01,01109,-29.717194063235638
2019-04-01,01109,-21.789721512406686
2019-05-01,01109,-12.439320497386234
2019-06-01,01109,-9.4932199157804
2019-07-01,01109,-9.830375101122854
2019-08-01,01109,-12.365981296848076
2019-09-01,01109,-24.040623685715218
2019-10-01,01109,-28.312675823044174
2019-11-01,01109,-32.65297392483012
2019-12-01,01109,-61.54108563601585
2019-01-01,01420,-18.71149350999508
2019-02-01,01420,-40.96573952506333
2019-03-01,01420,-60.63401641690734
2019-04-01,01420,-72.6181307582724
2019-05-01,01420,-74.84317711730932
2019-06-01,01420,-78.25201497171042
2019-07-01,01420,-81.80105550276085
2019-08-01,01420,-86.4570476122874
2019-09-01,01420,-86.19462618230023
2019-10-01,01420,-75.99444180041951
2019-11-01,01420,-49.841734048042326
2019-12-01,01420,-23.725243153912515
2019-01-01,01440,-12.918470092713505
2019-02-01,01440,-29.10022045644314
2019-03-01,01440,-28.03714987715921
2019-04-01,01440,-16.335224694463705
2019-05-01,01440,-8.688870898219875
2019-06-01,01440,-5.8611151405752935
2019-07-01,01440,-9.66818404509877
2019-08-01,01440,-9.967560935586107
2019-09-01,01440,-7.648723801772576
2019-10-01,01440,17.374037429564396
2019-11-01,01440,22.167191117390303
2019-12-01,01440,18.78228362699747
2019-01-01,01453,20.342336613610996
2019-02-01,01453,26.576579421348015
2019-03-01,01453,35.07009772934748
2019-04-01,01453,37.0684659141325
2019-05-01,01453,30.73584242170682
2019-06-01,01453,20.181961808972574
2019-07-01,01453,14.480178041392719
2019-08-01,01453,6.679525847870991
2019-09-01,01453,3.8127833423579887
2019-10-01,01453,14.901861622930483
2019-11-01,01453,20.961407542657525
2019-12-01,01453,24.001212044196336
2019-01-01,01545,26.844809347820046
2019-02-01,01545,5.1979775787806375
2019-03-01,01545,-31.48124230833787
2019-04-01,01545,-69.87499413903447
2019-05-01,01545,-83.76328468966881
2019-06-01,01545,-89.99385321361933
2019-07-01,01545,-84.46131766966619
2019-08-01,01545,-73.09274150089618
2019-09-01,01545,-61.83764417691896
2019-10-01,01545,-28.66108733408919
2019-11-01,01545,-13.538889585151537
2019-12-01,01545,-7.454314614246414
2019-01-01,01550,21.053290343553726
2019-02-01,01550,18.07613674314871
2019-03-01,01550,19.772085220957706
2019-04-01,01550,34.68134698271501
2019-05-01,01550,52.21871812931954
2019-06-01,01550,66.70269595126615
2019-07-01,01550,72.37783560187631
2019-08-01,01550,70.43191645887441
2019-09-01,01550,65.00912315390565
2019-10-01,01550,60.22016650226101
2019-11-01,01550,55.15005476371448
2019-12-01,01550,32.864060732174266
2019-01-01,01602,23.564602887212914
2019-02-01,01602,31.23300494318164
2019-03-01,01602,31.425024534240492
2019-04-01,01602,29.467532350608508
2019-05-01,01602,27.615029997485635
2019-06-01,01602,27.0656724914802
2019-07-01,01602,28.97374338053396
