datetime,zip,zri
2019-01-01,01013,2.928838423807292
2019-02-01,01013,39.601439987668755
2019-03-01,01013,32.854254176280165
2019-04-01,01013,10.954199380743376
2019-05-01,01013,8.089765865696108
2019-06-01,01013,-7.9477024675356915
2019-07-01,01013,-9.527212261995146
2019-08-01,01013,-29.210007631050985
2019-09-01,01013,-30.940805074893206
2019-10-01,01013,-52.585825373769694
2019-11-01,01013,-31.83326030546459
2019-12-01,01013,-27.41163395746048
2019-01-01,01020,54.226617661463024
2019-02-01,01020,80.69307003274025
2019-03-01,01020,106.37528186154941
2019-04-01,01020,117.30971524451797
2019-05-01,01020,160.0740908279422
2019-06-01,01020,181.48852242194152
2019-07-01,01020,195.95539760427164
2019-08-01,01020,202.5253167265173
2019-09-01,01020,224.718621930906
2019-10-01,01020,220.2325042867169
2019-11-01,01020,261.9607854484857
2019-12-01,01020,286.4206989592876
2019-01-01,01040,-47.622180595870304
2019-02-01,01040,-47.84990827199363
2019-03-01,01040,-54.97394561539477
2019-04-01,01040,-70.43632963628988
2019-05-01,01040,-96.31009807478767
2019-06-01,01040,-108.5768820129233
2019-07-01,01040,-121.53461336133478
2019-08-01,01040,-153.53993685120804
2019-09-01,01040,-137.19443920790218
2019-10-01,01040,-183.41921309406098
2019-11-01,01040,-155.1337601367959
2019-12-01,01040,-139.57813059391992
2019-01-01,01085,-45.87852080608536
2019-02-01,01085,-75.31050118804342
2019-03-01,01085,-85.10254473014538
2019-04-01,01085,-93.02560481541514
2019-05-01,01085,-108.32285902063268
2019-06-01,01085,-128.51573917171663
2019-07-01,01085,-138.13942429367125
2019-08-01,01085,-153.08327017618467
2019-09-01,01085,-153.7375247316213
2019-10-01,01085,-144.76895573468573
2019-11-01,01085,-161.28090857072857
2019-12-01,01085,-173.7436679827224
2019-01-01,01104,40.6231775121214
2019-02-01,01104,74.2877424518083
2019-03-01,01104,121.9684856496242
2019-04-01,01104,146.33877464174475
2019-05-01,01104,152.19108115592462
2019-06-01,01104,188.11771601966757
2019-07-01,01104,215.74426320661405
2019-08-01,01104,238.0289110122394
2019-09-01,01104,307.04811092942873
2019-10-01,01104,277.41830463716724
2019-11-01,01104,313.6739744055485
2019-12-01,01104,353.49041997762106
2019-01-01,01108,-22.747620306927274
2019-02-01,01108,-1.9699244035364245
2019-03-01,01108,17.584551580252082
2019-04-01,01108,36.88582614999177
2019-05-01,01108,18.83299161099785
2019-06-01,01108,25.583885451031165
2019-07-01,01108,40.44076141628284
2019-08-01,01108,44.015712464643
2019-09-01,01108,78.38460424313598
2019-10-01,01108,41.62627619655541
2019-11-01,01108,51.16969498058279
2019-12-01,01108,69.87545237873746
2019-01-01,01109,61.64198793556716
2019-02-01,01109,135.15894493879387
2019-03-01,01109,253.55588130915567
2019-04-01,01109,348.5599511737237
2019-05-01,01109,419.26390277924656
2019-06-01,01109,514.9422327319771
2019-07-01,01109,611.2152508692234
2019-08-01,01109,696.610102727951
2019-09-01,01109,816.6090803888801
2019-10-01,01109,876.5345797174377
2019-11-01,01109,980.5833986450416
2019-12-01,01109,1053.4454303805578
2019-01-01,01420,-377.90875719487667
2019-02-01,01420,-684.0842686811229
2019-03-01,01420,-1013.744648670603
2019-04-01,01420,-1328.52018195868
2019-05-01,01420,-1616.7054675785475
2019-06-01,01420,-1916.4917817303212
2019-07-01,01420,-2215.985739298223
2019-08-01,01420,-2527.8594198135543
2019-09-01,01420,-2851.328770003398
2019-10-01,01420,-3116.1193815201405
2019-11-01,01420,-3395.4290868886746
2019-12-01,01420,-3673.5147978974856
2019-01-01,01440,-105.02091160521377
2019-02-01,01440,-177.34729074855568
2019-03-01,01440,-246.34643440891523
2019-04-01,01440,-285.7967403816292
2019-05-01,01440,-322.33895767800277
2019-06-01,01440,-358.8385137451114
2019-07-01,01440,-433.56667014746927
2019-08-01,01440,-504.00124438642524
2019-09-01,01440,-568.2426114327973
2019-10-01,01440,-577.7525443840423
2019-11-01,01440,-632.8170245331712
2019-12-01,01440,-697.1784838926396
2019-01-01,01453,-29.416202788408555
2019-02-01,01453,-29.719817760123988
2019-03-01,01453,-45.84780856134603
2019-04-01,01453,-40.23726077975152
2019-05-01,01453,-30.449671213209513
2019-06-01,01453,-34.037556074312306
2019-07-01,01453,-52.51771471392567
2019-08-01,01453,-74.88320265223592
2019-09-01,01453,-65.65240691864892
2019-10-01,01453,-35.83197020904481
2019-11-01,01453,-26.550125037654652
2019-12-01,01453,-4.13751483339729
2019-01-01,01545,-58.2822076284574
2019-02-01,01545,-110.95314216281076
2019-03-01,01545,-225.69002972530507
2019-04-01,01545,-334.04839910873307
2019-05-01,01545,-399.30815933460144
2019-06-01,01545,-457.5855489504793
2019-07-01,01545,-506.6748642316961
2019-08-01,01545,-528.9592516707107
2019-09-01,01545,-556.8181084578282
2019-10-01,01545,-588.9324737592306
2019-11-01,01545,-604.4046960670839
2019-12-01,01545,-691.8020277029973
2019-01-01,01550,26.910434886922303
2019-02-01,01550,60.03514178235491
2019-03-01,01550,36.09599759566481
2019-04-01,01550,106.64476746179571
2019-05-01,01550,144.9933331312568
2019-06-01,01550,228.42160813220107
2019-07-01,01550,253.79910726766684
2019-08-01,01550,302.9834487559783
2019-09-01,01550,342.06495485673076
2019-10-01,01550,358.42807974065363
2019-11-01,01550,403.95781925141637
2019-12-01,01550,439.6336016749847
2019-01-01,01602,-29.99229780661335
2019-02-01,01602,-40.616712578084844
2019-03-01,01602,-58.18690917501954
2019-04-01,01602,-68.47984231108057
2019-05-01,01602,-61.61406610465929
