Metro,datetime,isPartial,LGBT,Same sex marriage,They,Pronouns,Starbucks,rel_pop_LGBT,rel_pop_Same sex marriage,rel_pop_They,rel_pop_Pronouns,rel_pop_Starbucks
Springfield,2017-09-01,False,100.0,0.0,81.0,28.571428571428573,54.54545454545455,10.0,10.0,100.0,7.0,44.0
Springfield,2017-10-01,False,60.0,10.0,68.0,14.285714285714286,54.54545454545455,10.0,10.0,100.0,7.0,44.0
Springfield,2017-11-01,False,40.0,0.0,79.0,14.285714285714286,61.36363636363637,10.0,10.0,100.0,7.0,44.0
Springfield,2017-12-01,False,20.0,0.0,77.0,28.571428571428573,61.36363636363637,10.0,10.0,100.0,7.0,44.0
Springfield,2018-01-01,False,20.0,0.0,64.0,28.571428571428573,38.63636363636363,10.0,10.0,100.0,7.0,44.0
Springfield,2018-02-01,False,50.0,10.0,83.0,42.857142857142854,50.0,10.0,10.0,100.0,7.0,44.0
Springfield,2018-03-01,False,20.0,10.0,89.0,71.42857142857143,52.27272727272727,10.0,10.0,100.0,7.0,44.0
Springfield,2018-04-01,False,40.0,0.0,64.0,71.42857142857143,72.72727272727273,10.0,10.0,100.0,7.0,44.0
Springfield,2018-05-01,False,30.0,0.0,77.0,42.857142857142854,59.09090909090909,10.0,10.0,100.0,7.0,44.0
Springfield,2018-06-01,False,20.0,0.0,71.0,14.285714285714286,68.18181818181819,10.0,10.0,100.0,7.0,44.0
Springfield,2018-07-01,False,40.0,0.0,60.0,0.0,61.36363636363637,10.0,10.0,100.0,7.0,44.0
Springfield,2018-08-01,False,40.0,0.0,62.0,14.285714285714286,50.0,10.0,10.0,100.0,7.0,44.0
Springfield,2018-09-01,False,30.0,0.0,63.0,14.285714285714286,59.09090909090909,10.0,10.0,100.0,7.0,44.0
Springfield,2018-10-01,False,20.0,10.0,93.0,42.857142857142854,56.81818181818182,10.0,10.0,100.0,7.0,44.0
Springfield,2018-11-01,False,40.0,10.0,81.0,14.285714285714286,68.18181818181819,10.0,10.0,100.0,7.0,44.0
Springfield,2018-12-01,False,20.0,0.0,89.0,28.571428571428573,65.9090909090909,10.0,10.0,100.0,7.0,44.0
Springfield,2019-01-01,False,50.0,0.0,84.0,28.571428571428573,56.81818181818182,10.0,10.0,100.0,7.0,44.0
Springfield,2019-02-01,False,20.0,0.0,96.0,57.142857142857146,70.45454545454545,10.0,10.0,100.0,7.0,44.0
Springfield,2019-03-01,False,20.0,0.0,82.0,71.42857142857143,56.81818181818182,10.0,10.0,100.0,7.0,44.0
Springfield,2019-04-01,False,10.0,10.0,90.0,14.285714285714286,50.0,10.0,10.0,100.0,7.0,44.0
Springfield,2019-05-01,False,30.0,10.0,78.0,0.0,100.0,10.0,10.0,100.0,7.0,44.0
Springfield,2019-06-01,False,50.0,10.0,100.0,14.285714285714286,65.9090909090909,10.0,10.0,100.0,7.0,44.0
Springfield,2019-07-01,False,50.0,20.0,81.0,0.0,88.63636363636364,10.0,10.0,100.0,7.0,44.0
Springfield,2019-08-01,False,50.0,0.0,55.0,57.142857142857146,81.81818181818181,10.0,10.0,100.0,7.0,44.0
Springfield,2019-09-01,False,20.0,0.0,84.0,71.42857142857143,54.54545454545455,10.0,10.0,100.0,7.0,44.0
Springfield,2019-10-01,False,40.0,0.0,83.0,42.857142857142854,56.81818181818182,10.0,10.0,100.0,7.0,44.0
