Metro,datetime,term_Fire,term_Water Damage,term_Smoke,term_Wildfire,term_Flooding
Buffalo-Cheektowaga-Niagara Falls,2015-04-01,80,0,20,0,0
Rochester,2015-04-01,82,0,17,0,1
Jamestown-Dunkirk-Fredonia,2015-04-01,86,0,14,0,0
Ithaca,2015-04-01,83,0,17,0,0
Pittsburgh,2015-04-01,83,0,17,0,0
Warren,2015-04-01,86,0,14,0,0
Erie,2015-04-01,86,0,14,0,0
Harrisburg-Carlisle,2015-04-01,87,0,13,0,0
Lancaster,2015-04-01,87,0,13,0,0
York-Hanover,2015-04-01,87,0,13,0,0
Williamsport,2015-04-01,86,0,14,0,0
Allentown-Bethlehem-Easton,2015-04-01,86,0,14,0,0
Philadelphia-Camden-Wilmington,2015-04-01,83,0,16,0,1
Washington-Arlington-Alexandria,2015-04-01,79,1,19,0,1
Baltimore-Columbia-Towson,2015-04-01,84,1,15,0,0
Charlottesville,2015-04-01,81,2,15,0,2
Richmond,2015-04-01,80,0,19,0,1
Virginia Beach-Norfolk-Newport News,2015-04-01,83,0,16,1,0
Wheeling,2015-04-01,87,0,13,0,0
Morgantown,2015-04-01,70,0,30,0,0
Raleigh,2015-04-01,79,1,20,0,0
Durham-Chapel Hill,2015-04-01,79,1,20,0,0
Charlotte-Concord-Gastonia,2015-04-01,80,0,20,0,0
ColumbiaSC,2015-04-01,83,1,16,0,0
Charleston-North Charleston,2015-04-01,77,0,23,0,0
Greenville-Anderson-Mauldin,2015-04-01,79,0,19,1,1
Atlanta-Sandy Springs-Roswell,2015-04-01,77,1,21,1,0
Athens-Clarke County,2015-04-01,80,0,20,0,0
Savannah,2015-04-01,80,0,20,0,0
Jacksonville,2015-04-01,75,0,25,0,0
Orlando-Kissimmee-Sanford,2015-04-01,76,0,23,1,0
Palm Bay-Melbourne-Titusville,2015-04-01,76,0,23,1,0
Miami-Fort Lauderdale-West Palm Beach,2015-04-01,81,0,17,1,1
Tampa-St. Petersburg-Clearwater,2015-04-01,79,0,20,1,0
Cape Coral-Fort Myers,2015-04-01,81,1,18,0,0
North Port-Sarasota-Bradenton,2015-04-01,79,0,20,1,0
Clarksville,2015-04-01,76,2,22,0,0
Nashville-Davidson--Murfreesboro--Franklin,2015-04-01,76,2,22,0,0
Memphis,2015-04-01,76,0,23,1,0
Lexington-Fayette,2015-04-01,80,6,14,0,0
Columbus,2015-04-01,80,1,18,0,1
Cleveland-Elyria,2015-04-01,81,1,18,0,0
Canton-Massillon,2015-04-01,81,1,18,0,0
Cincinnati,2015-04-01,80,2,18,0,0
Dayton,2015-04-01,80,1,19,0,0
Findlay,2015-04-01,85,0,15,0,0
Indianapolis-Carmel-Anderson,2015-04-01,77,3,19,1,0
Chicago-Naperville-Elgin,2015-04-01,77,1,18,0,4
Bloomington,2015-04-01,77,3,19,1,0
Detroit-Warren-Dearborn,2015-04-01,77,0,21,1,1
Dubuque,2015-04-01,79,0,20,0,1
Milwaukee-Waukesha-West Allis,2015-04-01,81,0,18,1,0
Racine,2015-04-01,81,0,18,1,0
Madison,2015-04-01,80,0,20,0,0
Manitowoc,2015-04-01,85,0,14,1,0
La Crosse-Onalaska,2015-04-01,78,0,21,0,1
Oshkosh-Neenah,2015-04-01,85,0,14,1,0
Minneapolis-St. Paul-Bloomington,2015-04-01,79,0,19,1,1
Fargo,2015-04-01,84,1,13,1,1
Helena,2015-04-01,91,0,9,0,0
Bozeman,2015-04-01,72,2,23,0,3
Missoula,2015-04-01,93,0,6,1,0
Kalispell,2015-04-01,93,0,6,1,0
Rockford,2015-04-01,82,0,16,0,2
St. Louis,2015-04-01,77,2,21,0,0
Kansas City,2015-04-01,84,0,15,1,0
Joplin,2015-04-01,70,0,30,0,0
ColumbiaMO,2015-04-01,76,0,22,1,1
Manhattan,2015-04-01,81,2,17,0,0
Topeka,2015-04-01,81,2,17,0,0
Wichita,2015-04-01,77,2,19,2,0
Little Rock-North Little Rock-Conway,2015-04-01,79,0,21,0,0
Fayetteville-Springdale-Rogers,2015-04-01,82,1,17,0,0
Oklahoma City,2015-04-01,77,1,22,0,0
Dallas-Fort Worth-Arlington,2015-04-01,76,2,22,0,0
Tyler,2015-04-01,80,0,19,1,0
Killeen-Temple,2015-04-01,81,2,16,1,0
Houston-The Woodlands-Sugar Land,2015-04-01,76,2,21,1,0
College Station-Bryan,2015-04-01,81,2,16,1,0
San Antonio-New Braunfels,2015-04-01,74,1,25,0,0
Brownsville-Harlingen,2015-04-01,85,0,13,0,2
Austin-Round Rock,2015-04-01,79,1,19,1,0
El Paso,2015-04-01,76,1,22,0,1
Denver-Aurora-Lakewood,2015-04-01,79,0,19,0,2
Boulder,2015-04-01,79,0,19,0,2
Colorado Springs,2015-04-01,83,2,12,1,2
Salt Lake City,2015-04-01,79,0,21,0,0
Ogden-Clearfield,2015-04-01,79,0,21,0,0
Phoenix-Mesa-Scottsdale,2015-04-01,74,1,22,1,2
Tucson,2015-04-01,72,2,26,0,0
Prescott,2015-04-01,74,1,22,1,2
Albuquerque,2015-04-01,79,0,20,1,0
Las Vegas-Henderson-Paradise,2015-04-01,73,1,24,0,2
Reno,2015-04-01,74,0,25,0,1
Los Angeles-Long Beach-Anaheim,2015-04-01,82,0,18,0,0
Riverside-San Bernardino-Ontario,2015-04-01,82,0,18,0,0
San Diego-Carlsbad,2015-04-01,80,0,19,0,1
Oxnard-Thousand Oaks-Ventura,2015-04-01,82,0,18,0,0
Bakersfield,2015-04-01,73,1,26,0,0
Salinas,2015-04-01,80,1,19,0,0
San Francisco-Oakland-Hayward,2015-04-01,79,0,19,1,1
San Jose-Sunnyvale-Santa Clara,2015-04-01,79,0,19,1,1
Stockton-Lodi,2015-04-01,85,0,15,0,0
Sacramento--Roseville--Arden-Arcade,2015-04-01,85,0,15,0,0
Chico,2015-04-01,84,0,13,1,2
Urban Honolulu,2015-04-01,82,1,16,1,0
Portland-Vancouver-Hillsboro,2015-04-01,80,0,18,1,1
Eugene,2015-04-01,74,2,21,0,3
Medford,2015-04-01,85,0,14,0,1
Seattle-Tacoma-Bellevue,2015-04-01,80,0,18,1,1
Spokane-Spokane Valley,2015-04-01,80,0,19,1,0
Anchorage,2015-04-01,79,0,20,0,1
Springfield,2015-05-01,85,4,11,0,0
Worcester,2015-05-01,81,4,15,0,0
Boston-Cambridge-Newton,2015-05-01,81,4,15,0,0
Providence-Warwick,2015-05-01,78,5,17,0,0
Manchester-Nashua,2015-05-01,81,4,15,0,0
Concord,2015-05-01,81,4,15,0,0
Portland-South Portland,2015-05-01,79,4,17,0,0
Lewiston-Auburn,2015-05-01,79,4,17,0,0
Bangor,2015-05-01,75,5,20,0,0
Augusta-Waterville,2015-05-01,71,9,20,0,0
Hartford-West Hartford-East Hartford,2015-05-01,80,4,16,0,0
Norwich-New London,2015-05-01,80,4,16,0,0
New Haven-Milford,2015-05-01,80,4,16,0,0
Bridgeport-Stamford-Norwalk,2015-05-01,80,4,16,0,0
Torrington,2015-05-01,80,4,16,0,0
New York-Newark-Jersey City,2015-05-01,76,7,17,0,0
Albany-Schenectady-Troy,2015-05-01,82,5,12,0,1
Kingston,2015-05-01,82,5,12,0,1
Syracuse,2015-05-01,81,4,15,0,0
Utica-Rome,2015-05-01,91,0,7,0,2
Watertown-Fort Drum,2015-05-01,89,2,9,0,0
Binghamton,2015-05-01,76,4,18,0,2
Batavia,2015-05-01,84,4,11,1,0
Buffalo-Cheektowaga-Niagara Falls,2015-05-01,82,4,14,0,0
Rochester,2015-05-01,84,4,11,1,0
Jamestown-Dunkirk-Fredonia,2015-05-01,84,7,9,0,0
Ithaca,2015-05-01,72,0,24,4,0
Pittsburgh,2015-05-01,81,3,16,0,0
Warren,2015-05-01,84,7,9,0,0
Erie,2015-05-01,84,7,9,0,0
Harrisburg-Carlisle,2015-05-01,86,3,11,0,0
Lancaster,2015-05-01,86,3,11,0,0
York-Hanover,2015-05-01,86,3,11,0,0
Williamsport,2015-05-01,77,4,18,1,0
Allentown-Bethlehem-Easton,2015-05-01,77,4,18,1,0
Philadelphia-Camden-Wilmington,2015-05-01,78,5,17,0,0
Washington-Arlington-Alexandria,2015-05-01,77,4,18,1,0
Baltimore-Columbia-Towson,2015-05-01,80,6,14,0,0
Charlottesville,2015-05-01,70,8,22,0,0
Richmond,2015-05-01,76,8,16,0,0
Virginia Beach-Norfolk-Newport News,2015-05-01,75,5,19,1,0
Wheeling,2015-05-01,60,4,32,0,4
Morgantown,2015-05-01,66,3,31,0,0
Raleigh,2015-05-01,75,7,18,0,0
Durham-Chapel Hill,2015-05-01,75,7,18,0,0
Charlotte-Concord-Gastonia,2015-05-01,73,5,22,0,0
ColumbiaSC,2015-05-01,77,5,18,0,0
Charleston-North Charleston,2015-05-01,74,6,19,0,1
Greenville-Anderson-Mauldin,2015-05-01,73,7,20,0,0
Atlanta-Sandy Springs-Roswell,2015-05-01,74,5,20,1,0
Athens-Clarke County,2015-05-01,73,7,19,0,1
Savannah,2015-05-01,84,4,12,0,0
Jacksonville,2015-05-01,71,6,23,0,0
Orlando-Kissimmee-Sanford,2015-05-01,76,3,21,0,0
Palm Bay-Melbourne-Titusville,2015-05-01,76,3,21,0,0
Miami-Fort Lauderdale-West Palm Beach,2015-05-01,77,2,19,2,0
Tampa-St. Petersburg-Clearwater,2015-05-01,73,5,21,1,0
Cape Coral-Fort Myers,2015-05-01,83,2,15,0,0
North Port-Sarasota-Bradenton,2015-05-01,73,5,21,1,0
Clarksville,2015-05-01,68,9,22,1,0
Nashville-Davidson--Murfreesboro--Franklin,2015-05-01,68,9,22,1,0
Memphis,2015-05-01,69,13,18,0,0
Lexington-Fayette,2015-05-01,78,4,18,0,0
Columbus,2015-05-01,77,5,17,0,1
Cleveland-Elyria,2015-05-01,77,4,19,0,0
Canton-Massillon,2015-05-01,77,4,19,0,0
Cincinnati,2015-05-01,81,3,16,0,0
Dayton,2015-05-01,77,5,17,1,0
Findlay,2015-05-01,89,0,11,0,0
Indianapolis-Carmel-Anderson,2015-05-01,80,4,15,0,1
Chicago-Naperville-Elgin,2015-05-01,73,5,18,0,4
Bloomington,2015-05-01,80,4,15,0,1
Detroit-Warren-Dearborn,2015-05-01,74,5,21,0,0
Dubuque,2015-05-01,86,3,10,1,0
Milwaukee-Waukesha-West Allis,2015-05-01,74,6,19,0,1
Racine,2015-05-01,74,6,19,0,1
Madison,2015-05-01,74,7,19,0,0
Manitowoc,2015-05-01,77,4,15,2,2
La Crosse-Onalaska,2015-05-01,80,4,15,0,1
Oshkosh-Neenah,2015-05-01,77,4,15,2,2
Minneapolis-St. Paul-Bloomington,2015-05-01,77,5,17,1,0
Fargo,2015-05-01,79,5,16,0,0
Helena,2015-05-01,100,0,0,0,0
Bozeman,2015-05-01,82,5,11,0,2
Missoula,2015-05-01,72,7,20,0,1
Kalispell,2015-05-01,72,7,20,0,1
Rockford,2015-05-01,81,4,15,0,0
St. Louis,2015-05-01,71,8,20,1,0
Kansas City,2015-05-01,68,13,18,1,0
Joplin,2015-05-01,63,12,23,2,0
ColumbiaMO,2015-05-01,66,8,24,1,1
Manhattan,2015-05-01,61,14,24,1,0
Topeka,2015-05-01,61,14,24,1,0
Wichita,2015-05-01,73,10,16,0,1
Little Rock-North Little Rock-Conway,2015-05-01,68,20,10,2,0
Fayetteville-Springdale-Rogers,2015-05-01,66,26,7,0,1
Oklahoma City,2015-05-01,60,22,17,1,0
Dallas-Fort Worth-Arlington,2015-05-01,54,32,14,0,0
Tyler,2015-05-01,44,38,18,0,0
Killeen-Temple,2015-05-01,58,22,20,0,0
Houston-The Woodlands-Sugar Land,2015-05-01,55,29,15,1,0
College Station-Bryan,2015-05-01,58,22,20,0,0
San Antonio-New Braunfels,2015-05-01,51,30,18,0,1
Brownsville-Harlingen,2015-05-01,56,28,15,0,1
Austin-Round Rock,2015-05-01,53,34,13,0,0
El Paso,2015-05-01,69,17,14,0,0
Denver-Aurora-Lakewood,2015-05-01,70,11,17,1,1
Boulder,2015-05-01,70,11,17,1,1
Colorado Springs,2015-05-01,70,12,17,0,1
Salt Lake City,2015-05-01,75,6,17,2,0
Ogden-Clearfield,2015-05-01,75,6,17,2,0
Phoenix-Mesa-Scottsdale,2015-05-01,72,5,22,0,1
Tucson,2015-05-01,71,4,22,2,1
Prescott,2015-05-01,72,5,22,0,1
Albuquerque,2015-05-01,69,11,19,1,0
Las Vegas-Henderson-Paradise,2015-05-01,78,8,14,0,0
Reno,2015-05-01,77,3,18,1,1
Los Angeles-Long Beach-Anaheim,2015-05-01,75,5,20,0,0
Riverside-San Bernardino-Ontario,2015-05-01,75,5,20,0,0
San Diego-Carlsbad,2015-05-01,77,5,18,0,0
Oxnard-Thousand Oaks-Ventura,2015-05-01,75,5,20,0,0
Bakersfield,2015-05-01,76,8,16,0,0
Salinas,2015-05-01,71,5,21,1,2
San Francisco-Oakland-Hayward,2015-05-01,74,5,19,1,1
San Jose-Sunnyvale-Santa Clara,2015-05-01,74,5,19,1,1
Stockton-Lodi,2015-05-01,81,4,15,0,0
Sacramento--Roseville--Arden-Arcade,2015-05-01,81,4,15,0,0
Chico,2015-05-01,88,1,11,0,0
Urban Honolulu,2015-05-01,74,6,19,1,0
Portland-Vancouver-Hillsboro,2015-05-01,78,6,16,0,0
Eugene,2015-05-01,78,5,16,0,1
Medford,2015-05-01,80,7,12,0,1
Seattle-Tacoma-Bellevue,2015-05-01,77,6,17,0,0
Spokane-Spokane Valley,2015-05-01,72,7,21,0,0
Anchorage,2015-05-01,72,9,19,0,0
Springfield,2015-06-01,83,1,16,0,0
Worcester,2015-06-01,81,1,17,0,1
Boston-Cambridge-Newton,2015-06-01,81,1,17,0,1
Providence-Warwick,2015-06-01,83,1,15,1,0
Manchester-Nashua,2015-06-01,81,1,17,0,1
Concord,2015-06-01,81,1,17,0,1
Portland-South Portland,2015-06-01,84,2,13,1,0
Lewiston-Auburn,2015-06-01,84,2,13,1,0
Bangor,2015-06-01,86,2,12,0,0
Augusta-Waterville,2015-06-01,69,5,25,0,1
Hartford-West Hartford-East Hartford,2015-06-01,82,1,15,1,1
Norwich-New London,2015-06-01,82,1,15,1,1
New Haven-Milford,2015-06-01,82,1,15,1,1
Bridgeport-Stamford-Norwalk,2015-06-01,82,1,15,1,1
Torrington,2015-06-01,82,1,15,1,1
New York-Newark-Jersey City,2015-06-01,78,3,18,1,0
Albany-Schenectady-Troy,2015-06-01,86,0,13,1,0
Kingston,2015-06-01,86,0,13,1,0
Syracuse,2015-06-01,76,6,17,1,0
Utica-Rome,2015-06-01,79,0,21,0,0
Watertown-Fort Drum,2015-06-01,81,0,19,0,0
Binghamton,2015-06-01,82,8,8,2,0
Batavia,2015-06-01,82,2,16,0,0
Buffalo-Cheektowaga-Niagara Falls,2015-06-01,73,1,24,2,0
Rochester,2015-06-01,82,2,16,0,0
Jamestown-Dunkirk-Fredonia,2015-06-01,74,2,22,0,2
Ithaca,2015-06-01,68,16,16,0,0
Pittsburgh,2015-06-01,82,2,15,1,0
Warren,2015-06-01,74,2,22,0,2
Erie,2015-06-01,74,2,22,0,2
Harrisburg-Carlisle,2015-06-01,84,2,14,0,0
Lancaster,2015-06-01,84,2,14,0,0
York-Hanover,2015-06-01,84,2,14,0,0
Williamsport,2015-06-01,84,2,14,0,0
Allentown-Bethlehem-Easton,2015-06-01,84,2,14,0,0
Philadelphia-Camden-Wilmington,2015-06-01,84,2,14,0,0
Washington-Arlington-Alexandria,2015-06-01,81,2,16,1,0
Baltimore-Columbia-Towson,2015-06-01,80,4,15,1,0
Charlottesville,2015-06-01,87,0,13,0,0
Richmond,2015-06-01,84,1,14,0,1
Virginia Beach-Norfolk-Newport News,2015-06-01,77,1,20,2,0
Wheeling,2015-06-01,82,0,18,0,0
Morgantown,2015-06-01,76,0,21,0,3
Raleigh,2015-06-01,79,1,18,2,0
Durham-Chapel Hill,2015-06-01,79,1,18,2,0
Charlotte-Concord-Gastonia,2015-06-01,79,1,19,1,0
ColumbiaSC,2015-06-01,85,1,13,0,1
Charleston-North Charleston,2015-06-01,75,3,19,2,1
Greenville-Anderson-Mauldin,2015-06-01,80,3,17,0,0
Atlanta-Sandy Springs-Roswell,2015-06-01,77,2,21,0,0
Athens-Clarke County,2015-06-01,78,5,13,3,1
Savannah,2015-06-01,74,2,24,0,0
Jacksonville,2015-06-01,77,1,22,0,0
Orlando-Kissimmee-Sanford,2015-06-01,77,3,19,1,0
Palm Bay-Melbourne-Titusville,2015-06-01,77,3,19,1,0
Miami-Fort Lauderdale-West Palm Beach,2015-06-01,78,1,20,1,0
Tampa-St. Petersburg-Clearwater,2015-06-01,77,3,19,1,0
Cape Coral-Fort Myers,2015-06-01,79,3,16,0,2
North Port-Sarasota-Bradenton,2015-06-01,77,3,19,1,0
Clarksville,2015-06-01,80,3,16,0,1
Nashville-Davidson--Murfreesboro--Franklin,2015-06-01,80,3,16,0,1
Memphis,2015-06-01,72,6,20,2,0
Lexington-Fayette,2015-06-01,76,2,22,0,0
Columbus,2015-06-01,75,3,21,1,0
Cleveland-Elyria,2015-06-01,81,4,15,0,0
Canton-Massillon,2015-06-01,81,4,15,0,0
Cincinnati,2015-06-01,77,3,19,1,0
Dayton,2015-06-01,80,7,11,2,0
Findlay,2015-06-01,56,28,16,0,0
Indianapolis-Carmel-Anderson,2015-06-01,76,5,19,0,0
Chicago-Naperville-Elgin,2015-06-01,73,5,18,0,4
Bloomington,2015-06-01,76,5,19,0,0
Detroit-Warren-Dearborn,2015-06-01,76,3,20,0,1
Dubuque,2015-06-01,77,5,16,0,2
Milwaukee-Waukesha-West Allis,2015-06-01,78,3,17,1,1
Racine,2015-06-01,78,3,17,1,1
Madison,2015-06-01,78,4,17,0,1
Manitowoc,2015-06-01,73,4,21,0,2
La Crosse-Onalaska,2015-06-01,84,0,16,0,0
Oshkosh-Neenah,2015-06-01,73,4,21,0,2
Minneapolis-St. Paul-Bloomington,2015-06-01,77,2,20,1,0
Fargo,2015-06-01,76,2,20,0,2
Helena,2015-06-01,84,0,8,0,8
Bozeman,2015-06-01,79,0,15,0,6
Missoula,2015-06-01,88,1,7,1,3
Kalispell,2015-06-01,88,1,7,1,3
Rockford,2015-06-01,79,0,19,0,2
St. Louis,2015-06-01,69,9,21,0,1
Kansas City,2015-06-01,72,9,18,0,1
Joplin,2015-06-01,66,4,30,0,0
ColumbiaMO,2015-06-01,68,13,18,1,0
Manhattan,2015-06-01,74,8,17,1,0
Topeka,2015-06-01,74,8,17,1,0
Wichita,2015-06-01,74,4,19,2,1
Little Rock-North Little Rock-Conway,2015-06-01,75,9,15,1,0
Fayetteville-Springdale-Rogers,2015-06-01,81,5,14,0,0
Oklahoma City,2015-06-01,71,8,21,0,0
Dallas-Fort Worth-Arlington,2015-06-01,67,11,22,0,0
Tyler,2015-06-01,72,15,13,0,0
Killeen-Temple,2015-06-01,73,7,19,0,1
Houston-The Woodlands-Sugar Land,2015-06-01,70,9,21,0,0
College Station-Bryan,2015-06-01,73,7,19,0,1
San Antonio-New Braunfels,2015-06-01,71,8,21,0,0
Brownsville-Harlingen,2015-06-01,73,9,16,0,2
Austin-Round Rock,2015-06-01,73,11,15,1,0
El Paso,2015-06-01,70,11,14,0,5
Denver-Aurora-Lakewood,2015-06-01,74,6,18,1,1
Boulder,2015-06-01,74,6,18,1,1
Colorado Springs,2015-06-01,79,5,13,1,2
Salt Lake City,2015-06-01,79,3,17,0,1
Ogden-Clearfield,2015-06-01,79,3,17,0,1
Phoenix-Mesa-Scottsdale,2015-06-01,78,2,18,0,2
Tucson,2015-06-01,75,1,21,1,2
Prescott,2015-06-01,78,2,18,0,2
Albuquerque,2015-06-01,82,3,14,0,1
Las Vegas-Henderson-Paradise,2015-06-01,75,1,23,0,1
Reno,2015-06-01,84,2,13,0,1
Los Angeles-Long Beach-Anaheim,2015-06-01,84,1,14,0,1
Riverside-San Bernardino-Ontario,2015-06-01,84,1,14,0,1
San Diego-Carlsbad,2015-06-01,82,1,16,0,1
Oxnard-Thousand Oaks-Ventura,2015-06-01,84,1,14,0,1
Bakersfield,2015-06-01,78,4,16,0,2
Salinas,2015-06-01,78,1,17,2,2
San Francisco-Oakland-Hayward,2015-06-01,78,3,16,2,1
San Jose-Sunnyvale-Santa Clara,2015-06-01,78,3,16,2,1
Stockton-Lodi,2015-06-01,84,1,15,0,0
Sacramento--Roseville--Arden-Arcade,2015-06-01,84,1,15,0,0
Chico,2015-06-01,88,1,8,0,3
Urban Honolulu,2015-06-01,82,2,14,2,0
Portland-Vancouver-Hillsboro,2015-06-01,81,2,15,0,2
Eugene,2015-06-01,85,0,14,1,0
Medford,2015-06-01,90,1,7,0,2
Seattle-Tacoma-Bellevue,2015-06-01,82,0,15,0,3
Spokane-Spokane Valley,2015-06-01,85,2,11,0,2
Anchorage,2015-06-01,87,0,7,0,6
Springfield,2015-07-01,79,0,20,0,1
Worcester,2015-07-01,80,0,19,0,1
Boston-Cambridge-Newton,2015-07-01,80,0,19,0,1
Providence-Warwick,2015-07-01,83,0,17,0,0
Manchester-Nashua,2015-07-01,80,0,19,0,1
Concord,2015-07-01,80,0,19,0,1
Portland-South Portland,2015-07-01,82,1,16,0,1
Lewiston-Auburn,2015-07-01,82,1,16,0,1
Bangor,2015-07-01,87,2,10,0,1
Augusta-Waterville,2015-07-01,86,0,13,1,0
Hartford-West Hartford-East Hartford,2015-07-01,85,0,13,1,1
Norwich-New London,2015-07-01,85,0,13,1,1
New Haven-Milford,2015-07-01,85,0,13,1,1
Bridgeport-Stamford-Norwalk,2015-07-01,85,0,13,1,1
Torrington,2015-07-01,85,0,13,1,1
New York-Newark-Jersey City,2015-07-01,81,1,17,1,0
Albany-Schenectady-Troy,2015-07-01,82,1,17,0,0
Kingston,2015-07-01,82,1,17,0,0
Syracuse,2015-07-01,79,3,18,0,0
Utica-Rome,2015-07-01,92,0,8,0,0
Watertown-Fort Drum,2015-07-01,80,0,20,0,0
Binghamton,2015-07-01,87,0,13,0,0
Batavia,2015-07-01,84,0,15,1,0
Buffalo-Cheektowaga-Niagara Falls,2015-07-01,83,3,13,0,1
Rochester,2015-07-01,84,0,15,1,0
Jamestown-Dunkirk-Fredonia,2015-07-01,63,0,33,2,2
Ithaca,2015-07-01,80,0,17,3,0
Pittsburgh,2015-07-01,85,1,14,0,0
Warren,2015-07-01,63,0,33,2,2
Erie,2015-07-01,63,0,33,2,2
Harrisburg-Carlisle,2015-07-01,88,0,12,0,0
Lancaster,2015-07-01,88,0,12,0,0
York-Hanover,2015-07-01,88,0,12,0,0
Williamsport,2015-07-01,81,0,19,0,0
Allentown-Bethlehem-Easton,2015-07-01,81,0,19,0,0
Philadelphia-Camden-Wilmington,2015-07-01,84,1,15,0,0
Washington-Arlington-Alexandria,2015-07-01,80,2,17,0,1
Baltimore-Columbia-Towson,2015-07-01,83,1,15,1,0
Charlottesville,2015-07-01,77,2,19,0,2
Richmond,2015-07-01,81,1,16,2,0
Virginia Beach-Norfolk-Newport News,2015-07-01,77,0,21,2,0
Wheeling,2015-07-01,80,0,20,0,0
Morgantown,2015-07-01,77,0,23,0,0
Raleigh,2015-07-01,81,1,17,0,1
Durham-Chapel Hill,2015-07-01,81,1,17,0,1
Charlotte-Concord-Gastonia,2015-07-01,77,1,21,1,0
ColumbiaSC,2015-07-01,83,1,15,0,1
Charleston-North Charleston,2015-07-01,88,1,9,2,0
Greenville-Anderson-Mauldin,2015-07-01,78,1,21,0,0
Atlanta-Sandy Springs-Roswell,2015-07-01,78,1,20,1,0
Athens-Clarke County,2015-07-01,76,1,21,1,1
Savannah,2015-07-01,79,0,19,1,1
Jacksonville,2015-07-01,75,2,21,0,2
Orlando-Kissimmee-Sanford,2015-07-01,78,1,20,1,0
Palm Bay-Melbourne-Titusville,2015-07-01,78,1,20,1,0
Miami-Fort Lauderdale-West Palm Beach,2015-07-01,77,0,21,2,0
Tampa-St. Petersburg-Clearwater,2015-07-01,77,4,18,0,1
Cape Coral-Fort Myers,2015-07-01,77,2,19,2,0
North Port-Sarasota-Bradenton,2015-07-01,77,4,18,0,1
Clarksville,2015-07-01,76,3,21,0,0
Nashville-Davidson--Murfreesboro--Franklin,2015-07-01,76,3,21,0,0
Memphis,2015-07-01,76,0,20,1,3
Lexington-Fayette,2015-07-01,73,5,21,1,0
Columbus,2015-07-01,79,3,17,0,1
Cleveland-Elyria,2015-07-01,80,1,17,1,1
Canton-Massillon,2015-07-01,80,1,17,1,1
Cincinnati,2015-07-01,82,0,15,2,1
Dayton,2015-07-01,75,2,21,0,2
Findlay,2015-07-01,94,0,6,0,0
Indianapolis-Carmel-Anderson,2015-07-01,77,6,16,1,0
Chicago-Naperville-Elgin,2015-07-01,76,2,19,0,3
Bloomington,2015-07-01,77,6,16,1,0
Detroit-Warren-Dearborn,2015-07-01,76,1,22,0,1
Dubuque,2015-07-01,76,1,21,1,1
Milwaukee-Waukesha-West Allis,2015-07-01,77,1,20,0,2
Racine,2015-07-01,77,1,20,0,2
Madison,2015-07-01,82,2,14,0,2
Manitowoc,2015-07-01,82,0,16,0,2
La Crosse-Onalaska,2015-07-01,78,0,14,0,8
Oshkosh-Neenah,2015-07-01,82,0,16,0,2
Minneapolis-St. Paul-Bloomington,2015-07-01,75,2,20,0,3
Fargo,2015-07-01,73,1,23,2,1
Helena,2015-07-01,74,0,18,0,8
Bozeman,2015-07-01,74,1,20,0,5
Missoula,2015-07-01,86,0,11,0,3
Kalispell,2015-07-01,86,0,11,0,3
Rockford,2015-07-01,78,3,19,0,0
St. Louis,2015-07-01,72,5,21,0,2
Kansas City,2015-07-01,77,4,17,1,1
Joplin,2015-07-01,90,7,3,0,0
ColumbiaMO,2015-07-01,64,8,26,2,0
Manhattan,2015-07-01,72,1,24,0,3
Topeka,2015-07-01,72,1,24,0,3
Wichita,2015-07-01,71,3,25,0,1
Little Rock-North Little Rock-Conway,2015-07-01,80,3,16,0,1
Fayetteville-Springdale-Rogers,2015-07-01,79,2,16,1,2
Oklahoma City,2015-07-01,75,3,21,1,0
Dallas-Fort Worth-Arlington,2015-07-01,74,2,23,0,1
Tyler,2015-07-01,75,1,19,1,4
Killeen-Temple,2015-07-01,81,1,17,1,0
Houston-The Woodlands-Sugar Land,2015-07-01,76,3,21,0,0
College Station-Bryan,2015-07-01,81,1,17,1,0
San Antonio-New Braunfels,2015-07-01,78,1,21,0,0
Brownsville-Harlingen,2015-07-01,82,0,18,0,0
Austin-Round Rock,2015-07-01,77,1,19,2,1
El Paso,2015-07-01,81,2,17,0,0
Denver-Aurora-Lakewood,2015-07-01,76,1,21,1,1
Boulder,2015-07-01,76,1,21,1,1
Colorado Springs,2015-07-01,76,1,19,2,2
Salt Lake City,2015-07-01,80,2,17,0,1
Ogden-Clearfield,2015-07-01,80,2,17,0,1
Phoenix-Mesa-Scottsdale,2015-07-01,78,2,18,0,2
Tucson,2015-07-01,78,1,20,0,1
Prescott,2015-07-01,78,2,18,0,2
Albuquerque,2015-07-01,81,0,16,1,2
Las Vegas-Henderson-Paradise,2015-07-01,83,0,15,0,2
Reno,2015-07-01,87,2,9,0,2
Los Angeles-Long Beach-Anaheim,2015-07-01,83,0,16,0,1
Riverside-San Bernardino-Ontario,2015-07-01,83,0,16,0,1
San Diego-Carlsbad,2015-07-01,83,2,13,0,2
Oxnard-Thousand Oaks-Ventura,2015-07-01,83,0,16,0,1
Bakersfield,2015-07-01,83,0,16,1,0
Salinas,2015-07-01,90,0,9,1,0
San Francisco-Oakland-Hayward,2015-07-01,83,1,13,1,2
San Jose-Sunnyvale-Santa Clara,2015-07-01,83,1,13,1,2
Stockton-Lodi,2015-07-01,87,1,11,0,1
Sacramento--Roseville--Arden-Arcade,2015-07-01,87,1,11,0,1
Chico,2015-07-01,95,0,4,0,1
