Metro,datetime,term_Fire,term_Water Damage,term_Smoke,term_Wildfire,term_Flooding
College Station-Bryan,2014-01-01,75,0,24,0,1
San Antonio-New Braunfels,2014-01-01,77,0,23,0,0
Brownsville-Harlingen,2014-01-01,70,0,30,0,0
Austin-Round Rock,2014-01-01,78,0,20,1,1
El Paso,2014-01-01,81,1,15,1,2
Denver-Aurora-Lakewood,2014-01-01,78,1,19,0,2
Boulder,2014-01-01,78,1,19,0,2
Colorado Springs,2014-01-01,85,2,12,0,1
Salt Lake City,2014-01-01,82,0,17,0,1
Ogden-Clearfield,2014-01-01,82,0,17,0,1
Phoenix-Mesa-Scottsdale,2014-01-01,76,0,23,0,1
Tucson,2014-01-01,76,0,22,1,1
Prescott,2014-01-01,76,0,23,0,1
Albuquerque,2014-01-01,80,0,18,0,2
Las Vegas-Henderson-Paradise,2014-01-01,76,0,22,0,2
Reno,2014-01-01,80,0,19,0,1
Los Angeles-Long Beach-Anaheim,2014-01-01,84,0,15,0,1
Riverside-San Bernardino-Ontario,2014-01-01,84,0,15,0,1
San Diego-Carlsbad,2014-01-01,81,0,18,0,1
Oxnard-Thousand Oaks-Ventura,2014-01-01,84,0,15,0,1
Bakersfield,2014-01-01,84,1,15,0,0
Salinas,2014-01-01,81,1,17,0,1
San Francisco-Oakland-Hayward,2014-01-01,80,0,20,0,0
San Jose-Sunnyvale-Santa Clara,2014-01-01,80,0,20,0,0
Stockton-Lodi,2014-01-01,82,0,17,0,1
Sacramento--Roseville--Arden-Arcade,2014-01-01,82,0,17,0,1
Chico,2014-01-01,84,0,14,0,2
Urban Honolulu,2014-01-01,83,0,16,1,0
Portland-Vancouver-Hillsboro,2014-01-01,81,0,17,0,2
Eugene,2014-01-01,82,0,18,0,0
Medford,2014-01-01,87,0,13,0,0
Seattle-Tacoma-Bellevue,2014-01-01,80,0,19,0,1
Spokane-Spokane Valley,2014-01-01,80,1,19,0,0
Anchorage,2014-01-01,86,0,13,1,0
Springfield,2014-02-01,83,0,17,0,0
Worcester,2014-02-01,80,1,19,0,0
Boston-Cambridge-Newton,2014-02-01,80,1,19,0,0
Providence-Warwick,2014-02-01,82,1,16,0,1
Manchester-Nashua,2014-02-01,80,1,19,0,0
Concord,2014-02-01,80,1,19,0,0
Portland-South Portland,2014-02-01,82,2,16,0,0
Lewiston-Auburn,2014-02-01,82,2,16,0,0
Bangor,2014-02-01,84,0,13,0,3
Augusta-Waterville,2014-02-01,81,1,18,0,0
Hartford-West Hartford-East Hartford,2014-02-01,79,1,19,0,1
Norwich-New London,2014-02-01,79,1,19,0,1
New Haven-Milford,2014-02-01,79,1,19,0,1
Bridgeport-Stamford-Norwalk,2014-02-01,79,1,19,0,1
Torrington,2014-02-01,79,1,19,0,1
New York-Newark-Jersey City,2014-02-01,79,1,19,0,1
Albany-Schenectady-Troy,2014-02-01,86,2,12,0,0
Kingston,2014-02-01,86,2,12,0,0
Syracuse,2014-02-01,81,0,19,0,0
Utica-Rome,2014-02-01,84,0,16,0,0
Watertown-Fort Drum,2014-02-01,89,0,11,0,0
Binghamton,2014-02-01,79,1,16,0,4
Batavia,2014-02-01,80,1,18,0,1
Buffalo-Cheektowaga-Niagara Falls,2014-02-01,84,0,16,0,0
Rochester,2014-02-01,80,1,18,0,1
Jamestown-Dunkirk-Fredonia,2014-02-01,83,4,13,0,0
Ithaca,2014-02-01,78,0,19,0,3
Pittsburgh,2014-02-01,84,0,16,0,0
Warren,2014-02-01,83,4,13,0,0
Erie,2014-02-01,83,4,13,0,0
Harrisburg-Carlisle,2014-02-01,84,1,14,0,1
Lancaster,2014-02-01,84,1,14,0,1
York-Hanover,2014-02-01,84,1,14,0,1
Williamsport,2014-02-01,83,1,15,1,0
Allentown-Bethlehem-Easton,2014-02-01,83,1,15,1,0
Philadelphia-Camden-Wilmington,2014-02-01,84,2,14,0,0
Washington-Arlington-Alexandria,2014-02-01,81,0,17,1,1
Baltimore-Columbia-Towson,2014-02-01,83,2,15,0,0
Charlottesville,2014-02-01,77,0,21,1,1
Richmond,2014-02-01,77,0,22,0,1
Virginia Beach-Norfolk-Newport News,2014-02-01,78,2,20,0,0
Wheeling,2014-02-01,95,0,5,0,0
Morgantown,2014-02-01,89,0,11,0,0
Raleigh,2014-02-01,82,1,16,1,0
Durham-Chapel Hill,2014-02-01,82,1,16,1,0
Charlotte-Concord-Gastonia,2014-02-01,77,1,22,0,0
ColumbiaSC,2014-02-01,74,1,25,0,0
Charleston-North Charleston,2014-02-01,85,1,12,1,1
Greenville-Anderson-Mauldin,2014-02-01,83,0,17,0,0
Atlanta-Sandy Springs-Roswell,2014-02-01,76,0,23,1,0
Athens-Clarke County,2014-02-01,81,0,19,0,0
Savannah,2014-02-01,81,0,19,0,0
Jacksonville,2014-02-01,79,2,18,0,1
Orlando-Kissimmee-Sanford,2014-02-01,81,0,19,0,0
Palm Bay-Melbourne-Titusville,2014-02-01,81,0,19,0,0
Miami-Fort Lauderdale-West Palm Beach,2014-02-01,77,0,21,1,1
Tampa-St. Petersburg-Clearwater,2014-02-01,78,1,20,1,0
Cape Coral-Fort Myers,2014-02-01,79,3,16,1,1
North Port-Sarasota-Bradenton,2014-02-01,78,1,20,1,0
Clarksville,2014-02-01,79,0,20,1,0
Nashville-Davidson--Murfreesboro--Franklin,2014-02-01,79,0,20,1,0
Memphis,2014-02-01,76,3,20,1,0
Lexington-Fayette,2014-02-01,79,1,18,1,1
Columbus,2014-02-01,81,1,18,0,0
Cleveland-Elyria,2014-02-01,82,2,16,0,0
Canton-Massillon,2014-02-01,82,2,16,0,0
Cincinnati,2014-02-01,80,1,19,0,0
Dayton,2014-02-01,84,1,15,0,0
Findlay,2014-02-01,80,0,20,0,0
Indianapolis-Carmel-Anderson,2014-02-01,81,0,19,0,0
