Metro,datetime,term_techno,term_Techno
Indianapolis-Carmel-Anderson,2014-02-01,50,50
Chicago-Naperville-Elgin,2014-02-01,50,50
Bloomington,2014-02-01,50,50
Detroit-Warren-Dearborn,2014-02-01,50,50
Dubuque,2014-02-01,50,50
Milwaukee-Waukesha-West Allis,2014-02-01,50,50
Racine,2014-02-01,50,50
Madison,2014-02-01,50,50
Manitowoc,2014-02-01,50,50
La Crosse-Onalaska,2014-02-01,50,50
Oshkosh-Neenah,2014-02-01,50,50
Minneapolis-St. Paul-Bloomington,2014-02-01,50,50
Fargo,2014-02-01,50,50
Helena,2014-02-01,0,0
Bozeman,2014-02-01,50,50
Missoula,2014-02-01,50,50
Kalispell,2014-02-01,50,50
Rockford,2014-02-01,0,0
St. Louis,2014-02-01,50,50
Kansas City,2014-02-01,50,50
Joplin,2014-02-01,0,0
ColumbiaMO,2014-02-01,50,50
Manhattan,2014-02-01,0,0
Topeka,2014-02-01,0,0
Wichita,2014-02-01,50,50
Little Rock-North Little Rock-Conway,2014-02-01,50,50
Fayetteville-Springdale-Rogers,2014-02-01,50,50
Oklahoma City,2014-02-01,50,50
Dallas-Fort Worth-Arlington,2014-02-01,50,50
Tyler,2014-02-01,0,0
Killeen-Temple,2014-02-01,50,50
Houston-The Woodlands-Sugar Land,2014-02-01,50,50
College Station-Bryan,2014-02-01,50,50
San Antonio-New Braunfels,2014-02-01,50,50
Brownsville-Harlingen,2014-02-01,0,0
Austin-Round Rock,2014-02-01,50,50
El Paso,2014-02-01,50,50
Denver-Aurora-Lakewood,2014-02-01,50,50
Boulder,2014-02-01,50,50
Colorado Springs,2014-02-01,50,50
Salt Lake City,2014-02-01,50,50
Ogden-Clearfield,2014-02-01,50,50
Phoenix-Mesa-Scottsdale,2014-02-01,50,50
Tucson,2014-02-01,50,50
Prescott,2014-02-01,50,50
Albuquerque,2014-02-01,50,50
Las Vegas-Henderson-Paradise,2014-02-01,50,50
Reno,2014-02-01,0,0
Los Angeles-Long Beach-Anaheim,2014-02-01,50,50
