,Feature,Importance
0,zri_lag1,0.8245171200136658
1,zri_lag2,0.16828618815435706
2,zri_lag3,0.003969000798024709
4,zri_lag5,0.0017602468567268182
3,zri_lag4,0.0014674441772256153
