,Feature,Importance
0,zri_lag1,0.8046941717310502
1,zri_lag2,0.19145246956243991
2,zri_lag3,0.0028041720734036657
4,zri_lag5,0.000587588386843161
3,zri_lag4,0.00046159824626307565
