zip,RMSE_train,RMSE_test,RMSE_pure,forecast
1013,7.3816460902949474,73.01008001644304,73.19235257886481,"[1087.05569758 1081.85841331 1076.88908934 1072.34504564 1068.7818997
 1065.97882403 1064.02300947 1062.54118427 1061.76212988 1060.26396948
 1057.82387553 1055.2768892 ]"
1020,10.586568803608772,72.97492443418034,73.41851002215668,"[1115.96590934 1112.64089557 1110.57887675 1108.69820562 1107.09726029
 1105.25437229 1102.75176702 1100.59346051 1098.14806302 1095.08116886
 1090.96614857 1085.38778761]"
1040,7.41531082617445,55.51377846315967,55.37128086642829,"[1091.91275673 1086.67078555 1083.72708341 1081.64710589 1080.13376615
 1078.77826914 1077.82026012 1077.21764462 1077.0226187  1077.17533809
 1077.66136483 1077.95976514]"
1085,8.211525202156105,61.78670201574384,61.64078553380826,"[1157.63877136 1153.18500376 1148.34732357 1143.85738823 1138.53883827
 1133.45833101 1128.99611639 1125.57758471 1122.47651117 1119.17871142
 1115.93465587 1111.87335285]"
1104,8.347810032605212,49.31359540886995,49.55864093304409,"[1115.87162803 1112.85878763 1109.88280184 1107.0507501  1104.70259467
 1102.62126342 1101.00950323 1099.73004932 1098.4269391  1097.50100975
 1103.39500852 1111.26330505]"
1108,7.873689366118387,74.15329838968879,74.40109445308617,"[1173.06772133 1170.61650215 1167.29819944 1164.72549966 1159.49725954
 1150.24116341 1139.51318008 1129.88681738 1123.2347409  1118.71935148
 1115.36455808 1112.74418564]"
1109,8.15233364981599,51.08226515091966,51.37262017635822,"[1158.73614383 1157.77440415 1156.84687819 1156.06786287 1155.14824999
 1154.13618439 1152.20873649 1149.80380049 1145.63434267 1141.48782834
 1138.23102015 1136.2509008 ]"
1420,10.30045163180335,96.77223323051209,96.73547692964843,"[1223.3519578  1219.23356637 1214.78553141 1209.23330554 1204.31122308
 1203.03872799 1204.88140146 1204.88673855 1204.99617399 1204.50345463
 1203.35714205 1202.32356246]"
1440,7.77173844489532,39.584510384651885,39.63845713855108,"[1200.0509178  1205.71741517 1208.99840028 1209.07472772 1206.65425671
 1202.46804976 1196.74216422 1190.70936428 1183.52251397 1175.83552246
 1168.55655878 1162.26961833]"
1453,9.852435248917914,22.016812838575543,22.028910026387315,"[1331.33143874 1327.31815957 1320.58637512 1310.9840778  1300.67246028
 1296.23323291 1298.33951278 1302.7003732  1306.57323762 1309.82911859
 1312.06541099 1312.77516764]"
1545,7.737197286128096,66.84236207755494,66.87801464694138,"[1528.36989635 1532.64754891 1534.62259491 1534.76362574 1532.85576963
 1529.52868901 1525.77266079 1521.9942694  1517.45777442 1513.59686246
 1510.80820478 1508.79223691]"
1550,7.755611219709769,23.636823854230823,23.766556549463456,"[1227.63578178 1227.81302339 1228.04022672 1227.64483386 1226.27643379
 1224.48577261 1222.32469388 1219.4191679  1215.76229692 1211.238912
 1205.6116644  1200.27570929]"
1602,7.286246892369886,45.39772949335554,45.295999732589955,"[1380.28198057 1377.04452667 1372.454616   1366.71193228 1360.25843186
 1357.23203455 1357.40958227 1356.94955719 1356.11328722 1354.0628825
 1351.91352537 1349.50579319]"
1603,11.082693244323012,67.07208940138968,66.82600404560587,"[1272.12364901 1272.16578579 1271.88491331 1270.53946817 1268.98150645
 1268.16593858 1266.92185076 1262.33196138 1257.01737707 1251.86855176
 1247.02678804 1242.45569033]"
1604,8.324123782821626,63.3523480409137,63.554625783607285,"[1324.17991921 1322.50190705 1320.06884332 1317.50808875 1314.80896992
 1311.35890812 1307.55749074 1303.64533367 1299.56057624 1295.41118596
 1291.17253294 1286.78197319]"
1605,12.990790982892864,72.18006478999976,72.14007295132875,"[1301.25823369 1297.02350351 1291.15201607 1285.35822516 1280.19500467
 1275.0295589  1269.81491959 1265.53116429 1258.18443249 1246.94075746
 1237.03910963 1227.81900432]"
1610,12.614830180817355,37.702327522867854,37.72377661140666,"[1306.55288436 1306.12850658 1305.15519166 1304.52924209 1304.19065833
 1303.53789256 1301.27123486 1298.55279382 1295.6938273  1292.72518656
 1289.45439574 1285.67282971]"
1702,9.107664312849288,139.05618483161155,138.68516333952476,"[2254.25619736 2243.86381403 2233.9011859  2227.35298281 2223.80776245
 2220.8335246  2218.772539   2217.17243501 2214.86278433 2214.2588047
 2216.0637554  2219.55737151]"
1752,11.792989502991986,134.07345146815456,134.20824305329887,"[2047.25451876 2032.04664962 2019.06788339 2018.32322438 2017.36744433
 2016.21144088 2015.10306291 2014.130902   2013.05232623 2011.43214373
 2009.42645667 2006.63444291]"
1757,7.251398498183739,48.85689290491785,48.761581517464364,"[1455.28067361 1460.40580849 1458.55267127 1454.95732607 1451.93831722
 1450.80852252 1452.35977093 1454.15213939 1457.34708649 1459.71029753
 1461.58270896 1463.40847087]"
1760,8.89568901731554,129.64861324653373,129.962119954931,"[2285.77789642 2285.15440488 2284.5984662  2283.88466748 2282.94771413
 2281.82520289 2280.55653681 2279.25202516 2278.30860233 2278.18737266
 2278.61321259 2279.92323855]"
1801,9.808330713164795,83.95433894044307,83.92018517903938,"[2245.73804588 2236.1121412  2231.74685528 2228.33524759 2224.80356083
 2221.14863583 2217.38827504 2213.6107218  2210.01901421 2207.24175813
 2205.27565959 2204.3433594 ]"
1830,9.735327873020939,48.16770130233422,48.56707584600789,"[1612.50990829 1610.6942964  1606.20964053 1600.9835799  1595.64588801
 1592.97076191 1590.84208891 1587.00198969 1582.71402816 1577.63342391
 1572.9764388  1569.29642382]"
1832,8.957648157153379,21.65796883656819,21.82495392761577,"[1567.33535913 1573.32988351 1579.76521672 1585.6305207  1589.92877511
 1593.48175226 1595.10896213 1592.31223141 1588.48468948 1583.93844453
 1578.50127863 1572.46906043]"
1841,8.18421030602382,78.19435461487865,78.29558137997142,"[1556.59058394 1555.91688239 1556.18363393 1556.83183116 1559.24248623
 1560.82508691 1561.64407275 1561.75952821 1561.22855465 1560.20169177
 1559.2295348  1558.72090187]"
1843,7.8160429125370285,43.61068467746783,43.66665786181886,"[1684.00830472 1680.66880809 1676.96704904 1673.04071329 1669.30691161
 1665.62290904 1661.82324226 1657.94440314 1654.11988444 1650.83197397
 1647.72876566 1644.63776912]"
1844,10.632045438297547,47.69342444784036,47.60184718564134,"[1675.08307965 1670.35128277 1666.36851162 1663.32088301 1661.49208488
 1661.46265951 1661.45139006 1662.76622553 1664.11245405 1665.72783838
 1667.37228466 1668.24214059]"
