Metro,datetime,isPartial,Getaway,Places to go,Tourists attraction,Flight tickets,Starbucks,rel_pop_Getaway,rel_pop_Places to go,rel_pop_Tourists attraction,rel_pop_Flight tickets,rel_pop_Starbucks
Springfield,2017-12-01,False,8.333333333333334,62.5,,14.285714285714286,61.0,24.0,16.0,0.0,14.0,100.0
Springfield,2018-01-01,False,33.333333333333336,25.0,,14.285714285714286,38.0,24.0,16.0,0.0,14.0,100.0
Springfield,2018-02-01,False,16.666666666666668,81.25,,28.571428571428573,50.0,24.0,16.0,0.0,14.0,100.0
Springfield,2018-03-01,False,45.833333333333336,25.0,,14.285714285714286,53.0,24.0,16.0,0.0,14.0,100.0
Springfield,2018-04-01,False,16.666666666666668,12.5,,28.571428571428573,72.0,24.0,16.0,0.0,14.0,100.0
Springfield,2018-05-01,False,16.666666666666668,68.75,,0.0,59.0,24.0,16.0,0.0,14.0,100.0
Springfield,2018-06-01,False,8.333333333333334,93.75,,14.285714285714286,68.0,24.0,16.0,0.0,14.0,100.0
Springfield,2018-07-01,False,33.333333333333336,62.5,,0.0,61.0,24.0,16.0,0.0,14.0,100.0
Springfield,2018-08-01,False,41.666666666666664,75.0,,0.0,50.0,24.0,16.0,0.0,14.0,100.0
Springfield,2018-09-01,False,45.833333333333336,25.0,,0.0,58.0,24.0,16.0,0.0,14.0,100.0
Springfield,2018-10-01,False,20.833333333333332,12.5,,35.714285714285715,56.0,24.0,16.0,0.0,14.0,100.0
Springfield,2018-11-01,False,29.166666666666668,68.75,,14.285714285714286,67.0,24.0,16.0,0.0,14.0,100.0
Springfield,2018-12-01,False,54.166666666666664,56.25,,42.857142857142854,66.0,24.0,16.0,0.0,14.0,100.0
Springfield,2019-01-01,False,100.0,37.5,,0.0,56.0,24.0,16.0,0.0,14.0,100.0
Springfield,2019-02-01,False,45.833333333333336,43.75,,0.0,69.0,24.0,16.0,0.0,14.0,100.0
Springfield,2019-03-01,False,29.166666666666668,25.0,,35.714285714285715,55.0,24.0,16.0,0.0,14.0,100.0
Springfield,2019-04-01,False,16.666666666666668,56.25,,0.0,50.0,24.0,16.0,0.0,14.0,100.0
Springfield,2019-05-01,False,41.666666666666664,37.5,,28.571428571428573,100.0,24.0,16.0,0.0,14.0,100.0
Springfield,2019-06-01,False,16.666666666666668,50.0,,14.285714285714286,65.0,24.0,16.0,0.0,14.0,100.0
Springfield,2019-07-01,False,16.666666666666668,50.0,,0.0,88.0,24.0,16.0,0.0,14.0,100.0
Springfield,2019-08-01,False,25.0,50.0,,14.285714285714286,82.0,24.0,16.0,0.0,14.0,100.0
Springfield,2019-09-01,False,20.833333333333332,56.25,,21.428571428571427,55.0,24.0,16.0,0.0,14.0,100.0
Springfield,2019-10-01,False,45.833333333333336,62.5,,14.285714285714286,58.0,24.0,16.0,0.0,14.0,100.0
Springfield,2019-11-01,False,29.166666666666668,56.25,,21.428571428571427,44.0,24.0,16.0,0.0,14.0,100.0
Springfield,2019-12-01,False,41.666666666666664,12.5,,14.285714285714286,69.0,24.0,16.0,0.0,14.0,100.0
Springfield,2020-01-01,False,29.166666666666668,62.5,,14.285714285714286,84.0,24.0,16.0,0.0,14.0,100.0
Worcester,2014-01-01,False,55.55555555555556,33.333333333333336,,50.0,52.0,9.0,12.0,0.0,4.0,100.0
Worcester,2014-02-01,False,66.66666666666667,41.666666666666664,,50.0,48.0,9.0,12.0,0.0,4.0,100.0
Worcester,2014-03-01,False,44.44444444444444,41.666666666666664,,50.0,53.0,9.0,12.0,0.0,4.0,100.0
Worcester,2014-04-01,False,55.55555555555556,41.666666666666664,,25.0,51.0,9.0,12.0,0.0,4.0,100.0
Worcester,2014-05-01,False,55.55555555555556,41.666666666666664,,75.0,62.0,9.0,12.0,0.0,4.0,100.0
Worcester,2014-06-01,False,55.55555555555556,58.333333333333336,,75.0,53.0,9.0,12.0,0.0,4.0,100.0
Worcester,2014-07-01,False,66.66666666666667,58.333333333333336,,50.0,59.0,9.0,12.0,0.0,4.0,100.0
Worcester,2014-08-01,False,77.77777777777777,58.333333333333336,,25.0,59.0,9.0,12.0,0.0,4.0,100.0
Worcester,2014-09-01,False,44.44444444444444,33.333333333333336,,75.0,52.0,9.0,12.0,0.0,4.0,100.0
Worcester,2014-10-01,False,33.333333333333336,41.666666666666664,,50.0,55.0,9.0,12.0,0.0,4.0,100.0
Worcester,2014-11-01,False,44.44444444444444,25.0,,50.0,67.0,9.0,12.0,0.0,4.0,100.0
Worcester,2014-12-01,False,44.44444444444444,41.666666666666664,,75.0,68.0,9.0,12.0,0.0,4.0,100.0
Worcester,2015-01-01,False,77.77777777777777,50.0,,50.0,55.0,9.0,12.0,0.0,4.0,100.0
Worcester,2015-02-01,False,44.44444444444444,16.666666666666668,,75.0,55.0,9.0,12.0,0.0,4.0,100.0
Worcester,2015-03-01,False,44.44444444444444,41.666666666666664,,75.0,49.0,9.0,12.0,0.0,4.0,100.0
Worcester,2015-04-01,False,44.44444444444444,41.666666666666664,,50.0,67.0,9.0,12.0,0.0,4.0,100.0
Worcester,2015-05-01,False,55.55555555555556,50.0,,50.0,61.0,9.0,12.0,0.0,4.0,100.0
Worcester,2015-06-01,False,44.44444444444444,50.0,,75.0,54.0,9.0,12.0,0.0,4.0,100.0
Worcester,2015-07-01,False,55.55555555555556,58.333333333333336,,50.0,54.0,9.0,12.0,0.0,4.0,100.0
Worcester,2015-08-01,False,55.55555555555556,75.0,,25.0,58.0,9.0,12.0,0.0,4.0,100.0
Worcester,2015-09-01,False,55.55555555555556,50.0,,50.0,59.0,9.0,12.0,0.0,4.0,100.0
Worcester,2015-10-01,False,33.333333333333336,41.666666666666664,,50.0,58.0,9.0,12.0,0.0,4.0,100.0
Worcester,2015-11-01,False,44.44444444444444,41.666666666666664,,75.0,90.0,9.0,12.0,0.0,4.0,100.0
Worcester,2015-12-01,False,44.44444444444444,50.0,,50.0,76.0,9.0,12.0,0.0,4.0,100.0
Worcester,2016-01-01,False,66.66666666666667,58.333333333333336,,50.0,62.0,9.0,12.0,0.0,4.0,100.0
Worcester,2016-02-01,False,77.77777777777777,66.66666666666667,,75.0,55.0,9.0,12.0,0.0,4.0,100.0
Worcester,2016-03-01,False,55.55555555555556,66.66666666666667,,50.0,61.0,9.0,12.0,0.0,4.0,100.0
Worcester,2016-04-01,False,55.55555555555556,66.66666666666667,,50.0,60.0,9.0,12.0,0.0,4.0,100.0
Worcester,2016-05-01,False,55.55555555555556,75.0,,50.0,65.0,9.0,12.0,0.0,4.0,100.0
Worcester,2016-06-01,False,88.88888888888889,50.0,,50.0,74.0,9.0,12.0,0.0,4.0,100.0
Worcester,2016-07-01,False,55.55555555555556,66.66666666666667,,50.0,73.0,9.0,12.0,0.0,4.0,100.0
Worcester,2016-08-01,False,55.55555555555556,66.66666666666667,,50.0,69.0,9.0,12.0,0.0,4.0,100.0
Worcester,2016-09-01,False,33.333333333333336,50.0,,50.0,59.0,9.0,12.0,0.0,4.0,100.0
Worcester,2016-10-01,False,33.333333333333336,50.0,,25.0,61.0,9.0,12.0,0.0,4.0,100.0
Worcester,2016-11-01,False,44.44444444444444,50.0,,75.0,78.0,9.0,12.0,0.0,4.0,100.0
Worcester,2016-12-01,False,44.44444444444444,41.666666666666664,,50.0,79.0,9.0,12.0,0.0,4.0,100.0
Worcester,2017-01-01,False,66.66666666666667,58.333333333333336,,75.0,67.0,9.0,12.0,0.0,4.0,100.0
Worcester,2017-02-01,False,55.55555555555556,66.66666666666667,,100.0,66.0,9.0,12.0,0.0,4.0,100.0
Worcester,2017-03-01,False,66.66666666666667,66.66666666666667,,75.0,61.0,9.0,12.0,0.0,4.0,100.0
Worcester,2017-04-01,False,33.333333333333336,50.0,,75.0,85.0,9.0,12.0,0.0,4.0,100.0
Worcester,2017-05-01,False,44.44444444444444,41.666666666666664,,75.0,71.0,9.0,12.0,0.0,4.0,100.0
Worcester,2017-06-01,False,55.55555555555556,75.0,,75.0,70.0,9.0,12.0,0.0,4.0,100.0
Worcester,2017-07-01,False,55.55555555555556,50.0,,50.0,72.0,9.0,12.0,0.0,4.0,100.0
Worcester,2017-08-01,False,55.55555555555556,66.66666666666667,,50.0,71.0,9.0,12.0,0.0,4.0,100.0
Worcester,2017-09-01,False,66.66666666666667,58.333333333333336,,75.0,62.0,9.0,12.0,0.0,4.0,100.0
Worcester,2017-10-01,False,55.55555555555556,41.666666666666664,,50.0,63.0,9.0,12.0,0.0,4.0,100.0
Worcester,2017-11-01,False,77.77777777777777,58.333333333333336,,50.0,80.0,9.0,12.0,0.0,4.0,100.0
Worcester,2017-12-01,False,88.88888888888889,58.333333333333336,,75.0,80.0,9.0,12.0,0.0,4.0,100.0
Worcester,2018-01-01,False,88.88888888888889,66.66666666666667,,75.0,67.0,9.0,12.0,0.0,4.0,100.0
Worcester,2018-02-01,False,77.77777777777777,75.0,,75.0,58.0,9.0,12.0,0.0,4.0,100.0
