Metro,datetime,isPartial,apartment for rent,studio for rent,1 bedroom for rent,3 bedroom for rent,starbucks,rel_pop_apartment for rent,rel_pop_studio for rent,rel_pop_1 bedroom for rent,rel_pop_3 bedroom for rent,rel_pop_starbucks
Springfield,2017-10-01,False,18.75,0.0,0.0,0.0,62.0,32.0,14.0,9.0,9.0,100.0
Springfield,2017-11-01,False,40.625,0.0,22.22222222222222,0.0,69.0,32.0,14.0,9.0,9.0,100.0
Springfield,2017-12-01,False,40.625,14.285714285714286,22.22222222222222,22.22222222222222,66.0,32.0,14.0,9.0,9.0,100.0
Springfield,2018-01-01,False,21.875,14.285714285714286,22.22222222222222,44.44444444444444,59.0,32.0,14.0,9.0,9.0,100.0
Springfield,2018-02-01,False,34.375,14.285714285714286,0.0,22.22222222222222,48.0,32.0,14.0,9.0,9.0,100.0
Springfield,2018-03-01,False,37.5,0.0,0.0,44.44444444444444,59.0,32.0,14.0,9.0,9.0,100.0
Springfield,2018-04-01,False,78.125,14.285714285714286,44.44444444444444,0.0,82.0,32.0,14.0,9.0,9.0,100.0
Springfield,2018-05-01,False,34.375,0.0,0.0,22.22222222222222,72.0,32.0,14.0,9.0,9.0,100.0
Springfield,2018-06-01,False,37.5,14.285714285714286,0.0,55.55555555555556,77.0,32.0,14.0,9.0,9.0,100.0
Springfield,2018-07-01,False,31.25,0.0,22.22222222222222,55.55555555555556,79.0,32.0,14.0,9.0,9.0,100.0
Springfield,2018-08-01,False,43.75,71.42857142857143,22.22222222222222,0.0,67.0,32.0,14.0,9.0,9.0,100.0
Springfield,2018-09-01,False,34.375,42.857142857142854,22.22222222222222,22.22222222222222,66.0,32.0,14.0,9.0,9.0,100.0
Springfield,2018-10-01,False,31.25,0.0,0.0,0.0,49.0,32.0,14.0,9.0,9.0,100.0
Springfield,2018-11-01,False,53.125,14.285714285714286,66.66666666666667,44.44444444444444,70.0,32.0,14.0,9.0,9.0,100.0
Springfield,2018-12-01,False,34.375,14.285714285714286,66.66666666666667,22.22222222222222,49.0,32.0,14.0,9.0,9.0,100.0
Springfield,2019-01-01,False,46.875,42.857142857142854,44.44444444444444,0.0,64.0,32.0,14.0,9.0,9.0,100.0
Springfield,2019-02-01,False,34.375,28.571428571428573,22.22222222222222,77.77777777777777,79.0,32.0,14.0,9.0,9.0,100.0
Springfield,2019-03-01,False,43.75,71.42857142857143,0.0,0.0,74.0,32.0,14.0,9.0,9.0,100.0
Springfield,2019-04-01,False,31.25,14.285714285714286,44.44444444444444,0.0,53.0,32.0,14.0,9.0,9.0,100.0
Springfield,2019-05-01,False,62.5,28.571428571428573,44.44444444444444,22.22222222222222,86.0,32.0,14.0,9.0,9.0,100.0
Springfield,2019-06-01,False,75.0,14.285714285714286,55.55555555555556,22.22222222222222,58.0,32.0,14.0,9.0,9.0,100.0
Springfield,2019-07-01,False,53.125,35.714285714285715,77.77777777777777,22.22222222222222,91.0,32.0,14.0,9.0,9.0,100.0
Springfield,2019-08-01,False,71.875,50.0,55.55555555555556,22.22222222222222,80.0,32.0,14.0,9.0,9.0,100.0
Springfield,2019-09-01,False,50.0,100.0,0.0,66.66666666666667,73.0,32.0,14.0,9.0,9.0,100.0
Springfield,2019-10-01,False,34.375,14.285714285714286,0.0,22.22222222222222,63.0,32.0,14.0,9.0,9.0,100.0
Springfield,2019-11-01,False,31.25,0.0,66.66666666666667,22.22222222222222,81.0,32.0,14.0,9.0,9.0,100.0
Springfield,2019-12-01,False,37.5,14.285714285714286,22.22222222222222,22.22222222222222,74.0,32.0,14.0,9.0,9.0,100.0
Springfield,2020-01-01,False,53.125,0.0,0.0,100.0,66.0,32.0,14.0,9.0,9.0,100.0
Worcester,2014-01-01,False,50.0,50.0,33.333333333333336,33.333333333333336,48.0,16.0,4.0,3.0,3.0,100.0
Worcester,2014-02-01,False,43.75,50.0,33.333333333333336,33.333333333333336,54.0,16.0,4.0,3.0,3.0,100.0
Worcester,2014-03-01,False,62.5,25.0,33.333333333333336,33.333333333333336,46.0,16.0,4.0,3.0,3.0,100.0
Worcester,2014-04-01,False,50.0,25.0,33.333333333333336,33.333333333333336,51.0,16.0,4.0,3.0,3.0,100.0
Worcester,2014-05-01,False,43.75,25.0,0.0,33.333333333333336,63.0,16.0,4.0,3.0,3.0,100.0
Worcester,2014-06-01,False,56.25,50.0,33.333333333333336,33.333333333333336,53.0,16.0,4.0,3.0,3.0,100.0
Worcester,2014-07-01,False,50.0,50.0,33.333333333333336,33.333333333333336,60.0,16.0,4.0,3.0,3.0,100.0
Worcester,2014-08-01,False,56.25,25.0,33.333333333333336,33.333333333333336,52.0,16.0,4.0,3.0,3.0,100.0
Worcester,2014-09-01,False,56.25,25.0,33.333333333333336,33.333333333333336,53.0,16.0,4.0,3.0,3.0,100.0
Worcester,2014-10-01,False,50.0,75.0,33.333333333333336,33.333333333333336,51.0,16.0,4.0,3.0,3.0,100.0
Worcester,2014-11-01,False,43.75,25.0,33.333333333333336,0.0,65.0,16.0,4.0,3.0,3.0,100.0
