Metro,datetime,isPartial,condos for rent,duplex apartments for rent,townhomes for rent,townhouses for rent,starbucks,rel_pop_condos for rent,rel_pop_duplex apartments for rent,rel_pop_townhomes for rent,rel_pop_townhouses for rent,rel_pop_starbucks
Worcester,2018-06-01,False,60.0,,100.0,100.0,71.0,5.0,0.0,1.0,1.0,100.0
Worcester,2018-07-01,False,60.0,,0.0,100.0,74.0,5.0,0.0,1.0,1.0,100.0
Worcester,2018-08-01,False,80.0,,100.0,0.0,74.0,5.0,0.0,1.0,1.0,100.0
Worcester,2018-09-01,False,60.0,,0.0,0.0,71.0,5.0,0.0,1.0,1.0,100.0
Worcester,2018-10-01,False,80.0,,0.0,0.0,67.0,5.0,0.0,1.0,1.0,100.0
Worcester,2018-11-01,False,60.0,,0.0,0.0,73.0,5.0,0.0,1.0,1.0,100.0
Worcester,2018-12-01,False,60.0,,0.0,0.0,80.0,5.0,0.0,1.0,1.0,100.0
Worcester,2019-01-01,False,60.0,,100.0,0.0,71.0,5.0,0.0,1.0,1.0,100.0
Worcester,2019-02-01,False,80.0,,100.0,100.0,67.0,5.0,0.0,1.0,1.0,100.0
Worcester,2019-03-01,False,80.0,,100.0,0.0,71.0,5.0,0.0,1.0,1.0,100.0
Worcester,2019-04-01,False,80.0,,100.0,100.0,74.0,5.0,0.0,1.0,1.0,100.0
Worcester,2019-05-01,False,40.0,,0.0,0.0,100.0,5.0,0.0,1.0,1.0,100.0
Worcester,2019-06-01,False,80.0,,100.0,0.0,79.0,5.0,0.0,1.0,1.0,100.0
Worcester,2019-07-01,False,60.0,,100.0,100.0,83.0,5.0,0.0,1.0,1.0,100.0
Worcester,2019-08-01,False,60.0,,100.0,0.0,82.0,5.0,0.0,1.0,1.0,100.0
Worcester,2019-09-01,False,60.0,,100.0,0.0,83.0,5.0,0.0,1.0,1.0,100.0
Worcester,2019-10-01,False,60.0,,0.0,0.0,72.0,5.0,0.0,1.0,1.0,100.0
Worcester,2019-11-01,False,40.0,,100.0,0.0,91.0,5.0,0.0,1.0,1.0,100.0
Worcester,2019-12-01,False,60.0,,100.0,0.0,90.0,5.0,0.0,1.0,1.0,100.0
Worcester,2020-01-01,False,60.0,,100.0,100.0,72.0,5.0,0.0,1.0,1.0,100.0
Boston-Cambridge-Newton,2014-01-01,False,60.0,,100.0,0.0,48.0,5.0,0.0,1.0,1.0,100.0
Boston-Cambridge-Newton,2014-02-01,False,80.0,,0.0,100.0,54.0,5.0,0.0,1.0,1.0,100.0
Boston-Cambridge-Newton,2014-03-01,False,100.0,,0.0,100.0,46.0,5.0,0.0,1.0,1.0,100.0
Boston-Cambridge-Newton,2014-04-01,False,80.0,,0.0,100.0,51.0,5.0,0.0,1.0,1.0,100.0
Boston-Cambridge-Newton,2014-05-01,False,80.0,,100.0,100.0,63.0,5.0,0.0,1.0,1.0,100.0
Boston-Cambridge-Newton,2014-06-01,False,60.0,,100.0,0.0,53.0,5.0,0.0,1.0,1.0,100.0
Boston-Cambridge-Newton,2014-07-01,False,60.0,,0.0,100.0,60.0,5.0,0.0,1.0,1.0,100.0
Boston-Cambridge-Newton,2014-08-01,False,60.0,,100.0,100.0,52.0,5.0,0.0,1.0,1.0,100.0
Boston-Cambridge-Newton,2014-09-01,False,60.0,,100.0,100.0,53.0,5.0,0.0,1.0,1.0,100.0
Boston-Cambridge-Newton,2014-10-01,False,40.0,,100.0,0.0,51.0,5.0,0.0,1.0,1.0,100.0
Boston-Cambridge-Newton,2014-11-01,False,20.0,,100.0,100.0,65.0,5.0,0.0,1.0,1.0,100.0
Boston-Cambridge-Newton,2014-12-01,False,40.0,,0.0,100.0,69.0,5.0,0.0,1.0,1.0,100.0
Boston-Cambridge-Newton,2015-01-01,False,80.0,,0.0,100.0,56.0,5.0,0.0,1.0,1.0,100.0
Boston-Cambridge-Newton,2015-02-01,False,100.0,,100.0,100.0,57.0,5.0,0.0,1.0,1.0,100.0
Boston-Cambridge-Newton,2015-03-01,False,80.0,,100.0,0.0,58.0,5.0,0.0,1.0,1.0,100.0
Boston-Cambridge-Newton,2015-04-01,False,100.0,,100.0,100.0,64.0,5.0,0.0,1.0,1.0,100.0
Boston-Cambridge-Newton,2015-05-01,False,80.0,,100.0,100.0,59.0,5.0,0.0,1.0,1.0,100.0
Boston-Cambridge-Newton,2015-06-01,False,100.0,,100.0,100.0,60.0,5.0,0.0,1.0,1.0,100.0
Boston-Cambridge-Newton,2015-07-01,False,40.0,,0.0,0.0,60.0,5.0,0.0,1.0,1.0,100.0
Boston-Cambridge-Newton,2015-08-01,False,80.0,,100.0,100.0,50.0,5.0,0.0,1.0,1.0,100.0
Boston-Cambridge-Newton,2015-09-01,False,60.0,,0.0,100.0,54.0,5.0,0.0,1.0,1.0,100.0
Boston-Cambridge-Newton,2015-10-01,False,60.0,,100.0,100.0,61.0,5.0,0.0,1.0,1.0,100.0
