Metro,datetime,isPartial,Twitter,Hashtag,Tender Age Shelter,Fake News,Starbucks,rel_pop_Twitter,rel_pop_Hashtag,rel_pop_Tender Age Shelter,rel_pop_Fake News,rel_pop_Starbucks
Springfield,2018-01-01,False,65.0,100.0,,66.66666666666667,36.36363636363637,100.0,2.0,0.0,3.0,22.0
Springfield,2018-02-01,False,49.0,0.0,,100.0,50.0,100.0,2.0,0.0,3.0,22.0
Springfield,2018-03-01,False,57.0,0.0,,33.333333333333336,54.54545454545455,100.0,2.0,0.0,3.0,22.0
Springfield,2018-04-01,False,57.0,50.0,,33.333333333333336,72.72727272727273,100.0,2.0,0.0,3.0,22.0
Springfield,2018-05-01,False,55.0,0.0,,33.333333333333336,59.09090909090909,100.0,2.0,0.0,3.0,22.0
Springfield,2018-06-01,False,55.0,50.0,,0.0,68.18181818181819,100.0,2.0,0.0,3.0,22.0
Springfield,2018-07-01,False,55.0,50.0,,33.333333333333336,59.09090909090909,100.0,2.0,0.0,3.0,22.0
Springfield,2018-08-01,False,54.0,100.0,,0.0,50.0,100.0,2.0,0.0,3.0,22.0
Springfield,2018-09-01,False,60.0,50.0,,33.333333333333336,59.09090909090909,100.0,2.0,0.0,3.0,22.0
Springfield,2018-10-01,False,49.0,0.0,,0.0,54.54545454545455,100.0,2.0,0.0,3.0,22.0
Springfield,2018-11-01,False,49.0,0.0,,33.333333333333336,68.18181818181819,100.0,2.0,0.0,3.0,22.0
Springfield,2018-12-01,False,57.0,50.0,,0.0,63.63636363636363,100.0,2.0,0.0,3.0,22.0
Springfield,2019-01-01,False,51.0,50.0,,33.333333333333336,54.54545454545455,100.0,2.0,0.0,3.0,22.0
Springfield,2019-02-01,False,55.0,50.0,,33.333333333333336,68.18181818181819,100.0,2.0,0.0,3.0,22.0
Springfield,2019-03-01,False,59.0,0.0,,33.333333333333336,54.54545454545455,100.0,2.0,0.0,3.0,22.0
Springfield,2019-04-01,False,64.0,50.0,,0.0,50.0,100.0,2.0,0.0,3.0,22.0
Springfield,2019-05-01,False,54.0,0.0,,0.0,100.0,100.0,2.0,0.0,3.0,22.0
