Metro,datetime,isPartial,Gun range,Gun licence,Gun control,Gun violence,Starbucks,rel_pop_Gun range,rel_pop_Gun licence,rel_pop_Gun control,rel_pop_Gun violence,rel_pop_Starbucks
Springfield,2018-01-01,False,50.0,,15.384615384615385,0.0,38.0,8.0,0.0,13.0,9.0,100.0
Springfield,2018-02-01,False,25.0,,76.92307692307692,66.66666666666667,50.0,8.0,0.0,13.0,9.0,100.0
Springfield,2018-03-01,False,37.5,,76.92307692307692,100.0,53.0,8.0,0.0,13.0,9.0,100.0
Springfield,2018-04-01,False,0.0,,69.23076923076923,77.77777777777777,72.0,8.0,0.0,13.0,9.0,100.0
Springfield,2018-05-01,False,25.0,,46.15384615384615,0.0,59.0,8.0,0.0,13.0,9.0,100.0
Springfield,2018-06-01,False,0.0,,30.76923076923077,0.0,68.0,8.0,0.0,13.0,9.0,100.0
Springfield,2018-07-01,False,0.0,,0.0,0.0,61.0,8.0,0.0,13.0,9.0,100.0
Springfield,2018-08-01,False,0.0,,15.384615384615385,22.22222222222222,50.0,8.0,0.0,13.0,9.0,100.0
Springfield,2018-09-01,False,25.0,,0.0,0.0,58.0,8.0,0.0,13.0,9.0,100.0
Springfield,2018-10-01,False,50.0,,38.46153846153846,22.22222222222222,56.0,8.0,0.0,13.0,9.0,100.0
Springfield,2018-11-01,False,50.0,,53.84615384615385,66.66666666666667,67.0,8.0,0.0,13.0,9.0,100.0
Springfield,2018-12-01,False,50.0,,30.76923076923077,0.0,66.0,8.0,0.0,13.0,9.0,100.0
Springfield,2019-01-01,False,25.0,,30.76923076923077,0.0,56.0,8.0,0.0,13.0,9.0,100.0
Springfield,2019-02-01,False,25.0,,0.0,44.44444444444444,69.0,8.0,0.0,13.0,9.0,100.0
Springfield,2019-03-01,False,25.0,,30.76923076923077,0.0,55.0,8.0,0.0,13.0,9.0,100.0
Springfield,2019-04-01,False,50.0,,15.384615384615385,0.0,50.0,8.0,0.0,13.0,9.0,100.0
Springfield,2019-05-01,False,0.0,,0.0,0.0,100.0,8.0,0.0,13.0,9.0,100.0
Springfield,2019-06-01,False,0.0,,0.0,44.44444444444444,65.0,8.0,0.0,13.0,9.0,100.0
Springfield,2019-07-01,False,0.0,,0.0,22.22222222222222,88.0,8.0,0.0,13.0,9.0,100.0
Springfield,2019-08-01,False,0.0,,15.384615384615385,44.44444444444444,82.0,8.0,0.0,13.0,9.0,100.0
Springfield,2019-09-01,False,0.0,,38.46153846153846,0.0,55.0,8.0,0.0,13.0,9.0,100.0
Springfield,2019-10-01,False,37.5,,0.0,0.0,58.0,8.0,0.0,13.0,9.0,100.0
Springfield,2019-11-01,False,37.5,,15.384615384615385,0.0,44.0,8.0,0.0,13.0,9.0,100.0
Springfield,2019-12-01,False,0.0,,23.076923076923077,33.333333333333336,69.0,8.0,0.0,13.0,9.0,100.0
Springfield,2020-01-01,False,0.0,,53.84615384615385,0.0,84.0,8.0,0.0,13.0,9.0,100.0
Worcester,2014-01-01,False,40.0,0.0,20.0,0.0,52.0,5.0,1.0,15.0,8.0,100.0
Worcester,2014-02-01,False,40.0,0.0,13.333333333333334,12.5,48.0,5.0,1.0,15.0,8.0,100.0
Worcester,2014-03-01,False,60.0,0.0,20.0,12.5,53.0,5.0,1.0,15.0,8.0,100.0
Worcester,2014-04-01,False,20.0,0.0,20.0,12.5,51.0,5.0,1.0,15.0,8.0,100.0
Worcester,2014-05-01,False,60.0,0.0,13.333333333333334,25.0,62.0,5.0,1.0,15.0,8.0,100.0
Worcester,2014-06-01,False,40.0,0.0,20.0,12.5,53.0,5.0,1.0,15.0,8.0,100.0
Worcester,2014-07-01,False,20.0,0.0,13.333333333333334,0.0,59.0,5.0,1.0,15.0,8.0,100.0
Worcester,2014-08-01,False,40.0,0.0,13.333333333333334,12.5,59.0,5.0,1.0,15.0,8.0,100.0
Worcester,2014-09-01,False,60.0,0.0,13.333333333333334,12.5,52.0,5.0,1.0,15.0,8.0,100.0
Worcester,2014-10-01,False,20.0,0.0,13.333333333333334,12.5,55.0,5.0,1.0,15.0,8.0,100.0
Worcester,2014-11-01,False,40.0,100.0,20.0,12.5,67.0,5.0,1.0,15.0,8.0,100.0
Worcester,2014-12-01,False,40.0,0.0,13.333333333333334,12.5,68.0,5.0,1.0,15.0,8.0,100.0
Worcester,2015-01-01,False,80.0,0.0,13.333333333333334,0.0,55.0,5.0,1.0,15.0,8.0,100.0
Worcester,2015-02-01,False,40.0,0.0,13.333333333333334,0.0,55.0,5.0,1.0,15.0,8.0,100.0
Worcester,2015-03-01,False,60.0,0.0,13.333333333333334,12.5,49.0,5.0,1.0,15.0,8.0,100.0
Worcester,2015-04-01,False,80.0,0.0,13.333333333333334,12.5,67.0,5.0,1.0,15.0,8.0,100.0
Worcester,2015-05-01,False,20.0,0.0,13.333333333333334,0.0,61.0,5.0,1.0,15.0,8.0,100.0
Worcester,2015-06-01,False,40.0,0.0,26.666666666666668,12.5,54.0,5.0,1.0,15.0,8.0,100.0
Worcester,2015-07-01,False,40.0,0.0,13.333333333333334,0.0,54.0,5.0,1.0,15.0,8.0,100.0
Worcester,2015-08-01,False,40.0,0.0,13.333333333333334,12.5,58.0,5.0,1.0,15.0,8.0,100.0
Worcester,2015-09-01,False,40.0,0.0,6.666666666666667,12.5,59.0,5.0,1.0,15.0,8.0,100.0
Worcester,2015-10-01,False,20.0,0.0,60.0,75.0,58.0,5.0,1.0,15.0,8.0,100.0
Worcester,2015-11-01,False,100.0,0.0,33.333333333333336,12.5,90.0,5.0,1.0,15.0,8.0,100.0
