Metro,datetime,isPartial,home for rent,house for rent,townhome for rent,townhouse for rent,starbucks,rel_pop_home for rent,rel_pop_house for rent,rel_pop_townhome for rent,rel_pop_townhouse for rent,rel_pop_starbucks
Springfield,2018-03-01,False,0.0,34.48275862068966,,,59.0,12.0,29.0,0.0,0.0,100.0
Springfield,2018-04-01,False,16.666666666666668,41.37931034482759,,,82.0,12.0,29.0,0.0,0.0,100.0
Springfield,2018-05-01,False,33.333333333333336,51.724137931034484,,,72.0,12.0,29.0,0.0,0.0,100.0
Springfield,2018-06-01,False,58.333333333333336,48.275862068965516,,,77.0,12.0,29.0,0.0,0.0,100.0
Springfield,2018-07-01,False,16.666666666666668,31.03448275862069,,,79.0,12.0,29.0,0.0,0.0,100.0
Springfield,2018-08-01,False,75.0,72.41379310344827,,,67.0,12.0,29.0,0.0,0.0,100.0
Springfield,2018-09-01,False,33.333333333333336,51.724137931034484,,,66.0,12.0,29.0,0.0,0.0,100.0
Springfield,2018-10-01,False,66.66666666666667,62.06896551724138,,,49.0,12.0,29.0,0.0,0.0,100.0
Springfield,2018-11-01,False,33.333333333333336,27.586206896551722,,,70.0,12.0,29.0,0.0,0.0,100.0
Springfield,2018-12-01,False,33.333333333333336,20.689655172413794,,,49.0,12.0,29.0,0.0,0.0,100.0
Springfield,2019-01-01,False,16.666666666666668,13.793103448275861,,,64.0,12.0,29.0,0.0,0.0,100.0
Springfield,2019-02-01,False,58.333333333333336,68.96551724137932,,,79.0,12.0,29.0,0.0,0.0,100.0
Springfield,2019-03-01,False,16.666666666666668,68.96551724137932,,,74.0,12.0,29.0,0.0,0.0,100.0
Springfield,2019-04-01,False,0.0,44.827586206896555,,,53.0,12.0,29.0,0.0,0.0,100.0
Springfield,2019-05-01,False,0.0,51.724137931034484,,,86.0,12.0,29.0,0.0,0.0,100.0
Springfield,2019-06-01,False,41.666666666666664,65.51724137931035,,,58.0,12.0,29.0,0.0,0.0,100.0
Springfield,2019-07-01,False,16.666666666666668,24.137931034482758,,,91.0,12.0,29.0,0.0,0.0,100.0
Springfield,2019-08-01,False,16.666666666666668,55.172413793103445,,,80.0,12.0,29.0,0.0,0.0,100.0
Springfield,2019-09-01,False,16.666666666666668,89.65517241379311,,,73.0,12.0,29.0,0.0,0.0,100.0
Springfield,2019-10-01,False,0.0,37.93103448275862,,,63.0,12.0,29.0,0.0,0.0,100.0
Springfield,2019-11-01,False,16.666666666666668,34.48275862068966,,,81.0,12.0,29.0,0.0,0.0,100.0
Springfield,2019-12-01,False,0.0,27.586206896551722,,,74.0,12.0,29.0,0.0,0.0,100.0
Springfield,2020-01-01,False,50.0,37.93103448275862,,,66.0,12.0,29.0,0.0,0.0,100.0
Worcester,2014-01-01,False,60.0,42.857142857142854,,0.0,48.0,5.0,14.0,0.0,1.0,100.0
Worcester,2014-02-01,False,60.0,64.28571428571429,,100.0,54.0,5.0,14.0,0.0,1.0,100.0
Worcester,2014-03-01,False,60.0,71.42857142857143,,100.0,46.0,5.0,14.0,0.0,1.0,100.0
Worcester,2014-04-01,False,60.0,64.28571428571429,,100.0,51.0,5.0,14.0,0.0,1.0,100.0
Worcester,2014-05-01,False,80.0,50.0,,0.0,63.0,5.0,14.0,0.0,1.0,100.0
Worcester,2014-06-01,False,40.0,85.71428571428571,,0.0,53.0,5.0,14.0,0.0,1.0,100.0
Worcester,2014-07-01,False,40.0,71.42857142857143,,0.0,60.0,5.0,14.0,0.0,1.0,100.0
Worcester,2014-08-01,False,80.0,64.28571428571429,,0.0,52.0,5.0,14.0,0.0,1.0,100.0
Worcester,2014-09-01,False,40.0,50.0,,100.0,53.0,5.0,14.0,0.0,1.0,100.0
Worcester,2014-10-01,False,60.0,42.857142857142854,,0.0,51.0,5.0,14.0,0.0,1.0,100.0
Worcester,2014-11-01,False,40.0,35.714285714285715,,0.0,65.0,5.0,14.0,0.0,1.0,100.0
Worcester,2014-12-01,False,20.0,42.857142857142854,,0.0,69.0,5.0,14.0,0.0,1.0,100.0
Worcester,2015-01-01,False,80.0,71.42857142857143,,0.0,56.0,5.0,14.0,0.0,1.0,100.0
Worcester,2015-02-01,False,60.0,64.28571428571429,,0.0,57.0,5.0,14.0,0.0,1.0,100.0
Worcester,2015-03-01,False,100.0,64.28571428571429,,100.0,58.0,5.0,14.0,0.0,1.0,100.0
Worcester,2015-04-01,False,60.0,64.28571428571429,,100.0,64.0,5.0,14.0,0.0,1.0,100.0
Worcester,2015-05-01,False,60.0,64.28571428571429,,0.0,59.0,5.0,14.0,0.0,1.0,100.0
Worcester,2015-06-01,False,60.0,71.42857142857143,,0.0,60.0,5.0,14.0,0.0,1.0,100.0
Worcester,2015-07-01,False,100.0,100.0,,100.0,60.0,5.0,14.0,0.0,1.0,100.0
Worcester,2015-08-01,False,60.0,64.28571428571429,,0.0,50.0,5.0,14.0,0.0,1.0,100.0
Worcester,2015-09-01,False,60.0,71.42857142857143,,0.0,54.0,5.0,14.0,0.0,1.0,100.0
Worcester,2015-10-01,False,60.0,57.142857142857146,,100.0,61.0,5.0,14.0,0.0,1.0,100.0
Worcester,2015-11-01,False,40.0,50.0,,100.0,90.0,5.0,14.0,0.0,1.0,100.0
Worcester,2015-12-01,False,40.0,42.857142857142854,,0.0,72.0,5.0,14.0,0.0,1.0,100.0
Worcester,2016-01-01,False,40.0,50.0,,100.0,64.0,5.0,14.0,0.0,1.0,100.0
Worcester,2016-02-01,False,60.0,64.28571428571429,,0.0,56.0,5.0,14.0,0.0,1.0,100.0
Worcester,2016-03-01,False,40.0,57.142857142857146,,100.0,57.0,5.0,14.0,0.0,1.0,100.0
Worcester,2016-04-01,False,80.0,78.57142857142857,,0.0,63.0,5.0,14.0,0.0,1.0,100.0
Worcester,2016-05-01,False,60.0,85.71428571428571,,100.0,68.0,5.0,14.0,0.0,1.0,100.0
Worcester,2016-06-01,False,40.0,71.42857142857143,,0.0,72.0,5.0,14.0,0.0,1.0,100.0
Worcester,2016-07-01,False,60.0,64.28571428571429,,0.0,79.0,5.0,14.0,0.0,1.0,100.0
Worcester,2016-08-01,False,80.0,71.42857142857143,,0.0,69.0,5.0,14.0,0.0,1.0,100.0
Worcester,2016-09-01,False,40.0,64.28571428571429,,0.0,62.0,5.0,14.0,0.0,1.0,100.0
Worcester,2016-10-01,False,80.0,50.0,,100.0,61.0,5.0,14.0,0.0,1.0,100.0
Worcester,2016-11-01,False,40.0,57.142857142857146,,0.0,77.0,5.0,14.0,0.0,1.0,100.0
Worcester,2016-12-01,False,20.0,50.0,,0.0,82.0,5.0,14.0,0.0,1.0,100.0
Worcester,2017-01-01,False,60.0,57.142857142857146,,100.0,63.0,5.0,14.0,0.0,1.0,100.0
Worcester,2017-02-01,False,60.0,64.28571428571429,,100.0,65.0,5.0,14.0,0.0,1.0,100.0
Worcester,2017-03-01,False,80.0,71.42857142857143,,100.0,58.0,5.0,14.0,0.0,1.0,100.0
Worcester,2017-04-01,False,60.0,71.42857142857143,,100.0,88.0,5.0,14.0,0.0,1.0,100.0
Worcester,2017-05-01,False,60.0,78.57142857142857,,100.0,69.0,5.0,14.0,0.0,1.0,100.0
Worcester,2017-06-01,False,80.0,78.57142857142857,,0.0,68.0,5.0,14.0,0.0,1.0,100.0
Worcester,2017-07-01,False,80.0,85.71428571428571,,100.0,70.0,5.0,14.0,0.0,1.0,100.0
Worcester,2017-08-01,False,60.0,85.71428571428571,,0.0,64.0,5.0,14.0,0.0,1.0,100.0
Worcester,2017-09-01,False,40.0,57.142857142857146,,100.0,66.0,5.0,14.0,0.0,1.0,100.0
Worcester,2017-10-01,False,40.0,57.142857142857146,,0.0,60.0,5.0,14.0,0.0,1.0,100.0
Worcester,2017-11-01,False,40.0,42.857142857142854,,100.0,79.0,5.0,14.0,0.0,1.0,100.0
Worcester,2017-12-01,False,40.0,50.0,,0.0,85.0,5.0,14.0,0.0,1.0,100.0
Worcester,2018-01-01,False,60.0,71.42857142857143,,100.0,64.0,5.0,14.0,0.0,1.0,100.0
Worcester,2018-02-01,False,40.0,71.42857142857143,,0.0,57.0,5.0,14.0,0.0,1.0,100.0
Worcester,2018-03-01,False,60.0,71.42857142857143,,100.0,69.0,5.0,14.0,0.0,1.0,100.0
Worcester,2018-04-01,False,40.0,78.57142857142857,,100.0,82.0,5.0,14.0,0.0,1.0,100.0
Worcester,2018-05-01,False,60.0,57.142857142857146,,100.0,75.0,5.0,14.0,0.0,1.0,100.0
Worcester,2018-06-01,False,80.0,71.42857142857143,,100.0,71.0,5.0,14.0,0.0,1.0,100.0
Worcester,2018-07-01,False,60.0,71.42857142857143,,100.0,74.0,5.0,14.0,0.0,1.0,100.0
Worcester,2018-08-01,False,40.0,57.142857142857146,,0.0,74.0,5.0,14.0,0.0,1.0,100.0
Worcester,2018-09-01,False,40.0,64.28571428571429,,100.0,71.0,5.0,14.0,0.0,1.0,100.0
Worcester,2018-10-01,False,40.0,64.28571428571429,,0.0,67.0,5.0,14.0,0.0,1.0,100.0
Worcester,2018-11-01,False,20.0,50.0,,0.0,73.0,5.0,14.0,0.0,1.0,100.0
Worcester,2018-12-01,False,40.0,64.28571428571429,,0.0,80.0,5.0,14.0,0.0,1.0,100.0
Worcester,2019-01-01,False,60.0,64.28571428571429,,100.0,71.0,5.0,14.0,0.0,1.0,100.0
Worcester,2019-02-01,False,40.0,85.71428571428571,,0.0,67.0,5.0,14.0,0.0,1.0,100.0
Worcester,2019-03-01,False,40.0,78.57142857142857,,0.0,71.0,5.0,14.0,0.0,1.0,100.0
Worcester,2019-04-01,False,60.0,85.71428571428571,,0.0,74.0,5.0,14.0,0.0,1.0,100.0
Worcester,2019-05-01,False,60.0,64.28571428571429,,100.0,100.0,5.0,14.0,0.0,1.0,100.0
Worcester,2019-06-01,False,60.0,64.28571428571429,,0.0,79.0,5.0,14.0,0.0,1.0,100.0
Worcester,2019-07-01,False,60.0,64.28571428571429,,0.0,83.0,5.0,14.0,0.0,1.0,100.0
Worcester,2019-08-01,False,60.0,64.28571428571429,,0.0,82.0,5.0,14.0,0.0,1.0,100.0
Worcester,2019-09-01,False,40.0,64.28571428571429,,100.0,83.0,5.0,14.0,0.0,1.0,100.0
Worcester,2019-10-01,False,20.0,57.142857142857146,,0.0,72.0,5.0,14.0,0.0,1.0,100.0
Worcester,2019-11-01,False,40.0,50.0,,0.0,91.0,5.0,14.0,0.0,1.0,100.0
Worcester,2019-12-01,False,40.0,35.714285714285715,,0.0,90.0,5.0,14.0,0.0,1.0,100.0
Worcester,2020-01-01,False,60.0,42.857142857142854,,100.0,72.0,5.0,14.0,0.0,1.0,100.0
