RMSE_train,RMSE_test,RMSE_pure,forecast
8.852119285221448,39.20050749354602,56.69741651197167,"[1809.365  1806.9727 1804.2681 1802.0851 1800.1816 1798.7363 1797.2587
 1795.9102 1794.8179 1794.0443 1793.4685 1792.8309]"
7.176476845214085,76.00462292537776,73.88409081777068,"[1995.0022 1997.5886 1999.9437 2003.7526 2009.7083 2010.4196 2012.6301
 2011.2941 2008.1238 2005.5258 2009.2667 2008.0168]"
8.950145463745471,49.830001532409625,49.69410618984407,"[2018.4583 2019.0013 2020.219  2022.3496 2026.177  2027.3258 2028.2526
 2027.2313 2024.0426 2021.5574 2023.6676 2023.2977]"
7.180326219282362,44.62794263370821,46.35258089582643,"[2005.4534 2010.084  2016.9966 2021.4116 2028.03   2029.9418 2033.9904
 2038.564  2036.4926 2033.7794 2034.1909 2033.2744]"
9.512198658675937,97.31294109963132,100.24531753878436,"[2019.3551 2023.2738 2026.4342 2029.2637 2032.049  2034.5917 2036.651
 2037.3335 2036.5405 2035.1064 2036.8687 2037.3386]"
8.393341067059017,59.26043302641123,60.5550221201115,"[2181.7163 2175.8167 2168.8386 2159.5425 2152.1533 2147.2468 2144.3965
 2140.8914 2140.6729 2143.1797 2144.6833 2148.5022]"
7.960453076135125,87.3886743153594,50.31346439806291,"[2175.8042 2146.7432 2153.3206 2176.1816 2203.8376 2228.1946 2245.4563
 2262.0193 2258.9546 2219.1768 2175.2212 2148.2883]"
7.4173470796979375,110.1381590883978,119.12798754581571,"[1752.1691 1749.0815 1742.2349 1732.2513 1720.5884 1712.4961 1710.4745
 1709.8766 1709.7963 1710.0487 1710.102  1710.1709]"
7.148548827408354,101.59406902598975,85.51339400698477,"[1752.2911 1751.8354 1750.3583 1747.7047 1744.9397 1743.0739 1741.2467
 1739.7908 1738.5631 1737.5659 1737.128  1737.1368]"
9.454017703344196,70.35822374737256,79.8958349468803,"[1827.5902 1831.1486 1835.7938 1842.6543 1849.7405 1854.424  1854.3885
 1850.7249 1843.8408 1836.5132 1829.8423 1823.5135]"
4.97411487624219,20.01894036215938,39.78913297711938,"[1779.3956 1774.9801 1775.5126 1778.0079 1778.9762 1779.8701 1779.7994
 1779.2094 1778.2622 1777.2914 1776.9989 1776.4515]"
6.4268863440416935,93.27059418103276,64.80614179859963,"[1805.047  1803.2484 1802.9476 1803.2928 1803.068  1802.3468 1801.661
 1801.3932 1801.4547 1801.6718 1801.9877 1802.344 ]"
9.476047651019575,70.95715135695075,58.40143548261317,"[1857.1897 1866.0941 1872.6826 1874.0555 1869.2815 1860.9645 1852.7
 1846.6755 1843.557  1842.8324 1844.2797 1847.5502]"
8.152978816471212,49.16158696541106,59.10757490317996,"[2230.953  2217.2488 2205.3816 2197.55   2190.279  2191.0444 2200.8115
 2214.2986 2224.4937 2217.9072 2204.6443 2194.3323]"
7.302675685043508,59.992266602809686,85.12125410472638,"[2163.168  2151.082  2146.865  2161.0876 2204.415  2261.8901 2305.9768
 2315.8994 2306.9363 2292.956  2276.2754 2261.3445]"
6.652950771452514,55.05294330984307,73.90654233857902,"[1940.7574 1919.3115 1903.5546 1893.842  1890.1887 1893.3766 1904.8848
 1922.5952 1933.4575 1955.4617 1978.7518 1998.6982]"
9.189063141241396,155.78846092263518,111.03518503069598,"[2879.5886 2908.2588 2901.0989 2886.3088 2829.9497 2805.0298 2802.94
 2826.287  2862.773  2888.721  2904.6877 2917.5688]"
5.852796530627804,91.6965825551998,96.35065945367958,"[2587.3562 2568.1624 2572.1516 2580.439  2608.9229 2633.124  2656.898
 2644.1348 2637.9607 2641.3887 2645.4524 2649.221 ]"
4.999486491795913,113.65532576878536,112.88587159375648,"[2821.8308 2836.424  2832.7139 2805.8313 2730.426  2698.82   2696.857
 2715.2795 2741.829  2764.1238 2794.0767 2821.3042]"
7.206217564740636,177.5760900509654,133.16983209834498,"[2942.4082 2965.9875 2967.682  2942.611  2961.7542 2964.377  2952.1018
 2923.623  2864.2798 2835.2827 2818.7764 2810.268 ]"
9.93546017609106,144.13061994896051,122.95254490550566,"[2799.917  2785.0532 2768.129  2752.198  2745.542  2744.08   2748.711
 2762.2815 2784.9548 2795.3665 2788.347  2773.6348]"
7.75314499236856,84.75634223714343,65.02995955829104,"[2962.056  2974.6572 2989.1975 3005.7102 3022.4329 3026.8726 3004.7297
 2975.5234 2962.7893 2958.6487 2959.867  2964.2874]"
15.56107697250119,60.43742829869456,60.56009842415831,"[2784.5703 2797.9534 2844.3232 2924.5627 3020.4048 3080.7803 3098.7112
 3072.5127 2974.8887 2884.4739 2865.501  2836.913 ]"
8.602457068360508,110.89819800045402,164.96243522565263,"[3103.2588 3109.1843 3114.354  3117.2126 3115.6182 3111.1077 3125.7373
 3211.167  3280.7832 3323.3652 3388.9844 3429.5066]"
20.315181342262974,143.35855906174328,178.02222948194796,"[2404.7344 2428.5923 2462.6243 2488.2056 2495.1033 2479.587  2456.0789
 2431.215  2411.4233 2397.7466 2391.121  2398.148 ]"
