zip,RMSE_train,RMSE_test,importance
1013,11.311172388830794,31.36794233973295,"[0.04657483088932923, 0.039864816527301006, 0.03694704760218537, -0.002910363458551446, 0.052395309903676246, 0.05615353146929469, 0.008904348199211043, 0.10934770788549764, 0.039063015897295106, 0.014509159554705997, 0.10725445001106992, 0.06376833757740075, 0.16604187916795787, 0.006570960158787331, 0.0226510716056596, 0.029487847860518723, 0.017806134346372904, -0.028447759783613802, 0.07613708754108806, 0.03775506420963515, 0.05173086493835721, 0.0005463188039296352, 9.805934336126754e-05, 0.037623239277678966, 0.003140221523531439, 0.11485280934038378, 0.015042879200968251, 0.04302566340035052, 0.01363411317766805, 0.043489322755048354, 0.24600602655381043, 0.0011554041101944357, 0.04344174033952819, 0.008934148708891643, 0.010116517106955492, 0.17023666346392274, 0.05926023481903009, 0.028111010589778163, 0.0052671045992778165, 0.0, 0.0, 0.0, 0.0129902874493244, 0.026976763875000476, 0.03371287089104591, -0.0005783296570601726, 0.033092334468757256, 0.05004443298936612, 0.005801439414774068, 0.04339582522345764, 0.17011799074332368, -0.0033300368947871695, 0.016362656796811814, 0.011696017346746856, 0.0, 0.010135769571003372, 0.020418021993746427, -0.030870856790965906, 0.133978955238232, -0.008397686598669685, -0.009842238949414162, -1.7579519235311203e-05, 0.09323263970262041, 0.008084602346814851, 0.05861154571071059, 0.02427385608510324, -0.023892085266468355, -0.0067122277807686315, -0.001650267996354593, 0.04100470460087835, 0.018738824906675555, -0.0025310172023592648, 0.0, 0.0, 0.0, 0.012990081926811836, -0.010079567375660847, 0.0, 0.0, 0.02913713495208481, 0.009320239313537648, 0.05955469682220027, 0.022672668825892472, 0.01971316443264004, 0.04313474369983328, 0.03329385929780826, 0.1135790131419736, 0.12126480252662075, 0.00841257148288177]"
1020,11.646319390452808,38.04553596368953,"[0.005097095084023229, 0.060946279039276297, 0.0017190062183249921, 0.027028862369647078, 0.019416028600521384, 0.006207635522281318, 0.0003955251604947918, 0.03599794553540914, 0.011373008788414518, 0.007751903311242758, 0.05059900385044358, 0.033517369032067146, 0.02119732816452702, 0.03611938692627903, 0.05480344452910568, 0.014897992093244605, -0.0019833619666880242, 0.003650168186224656, 0.02904291042214302, 0.21294790906560856, 0.00039513316326544867, 0.004318172084300631, 0.06591998606945437, 0.006084577282402304, -0.023016053722173746, 0.018637092155505464, 0.20414721372597233, 0.08290980934126368, 0.013349315861857614, 0.021859098205817773, 0.05091298002445854, 0.07444695550570524, 0.02551738792340963, 0.01366466121215848, 0.0378064955127968, 0.0013694679974856072, 0.1534051307175197, 0.08351579546170274, 0.06276972543661619, 0.0, 0.0, 0.0, -0.00173875405939794, -0.009389077875488039, 0.005064867770246506, -0.013865485798440824, -0.0023951155563664006, 0.007552194248579225, 0.029474296003023648, 0.002200445341388413, 0.002202198244095621, 0.03024541394284741, 0.005867324938133134, 0.023917687104185514, 0.0, 0.031564877048215756, -0.0034527832659234647, 0.008404385837487371, 0.007091642117933672, -0.0023393518345232733, 0.008357122998529087, -0.012490629773629913, -0.0177873580717135, -0.006812853279016595, 0.13908643641991025, 0.013536293264760024, 0.0032018360086962794, 0.014308136738927058, -0.02718104841252189, -0.003034655290331756, 0.023456564719650963, 0.007627807994469604, 0.0, 0.0, 0.0, 0.04850104584358372, -0.0007790749682866638, 0.0, 0.0, -0.00036522059634314097, 0.01229786928870058, -0.014031318549358351, 0.01652286394438729, 0.023473884547904333, 0.011208739274110036, 0.015481723276236536, -0.02136156840340353, 0.03516069330496019, 0.10774115546346597]"
1040,10.977748141835557,41.895809921767025,"[0.0528558777034549, -0.005177386292302577, 0.06894181615858774, 0.005807948847350364, 0.2826694145603923, 0.26499373051314135, 0.0955168654332137, 0.026094798343309522, 0.0006981268302745924, 0.03941096233121244, 0.014442872289472941, 0.019871578353215513, 0.05776227231852182, 0.034468146320708604, -0.0008790732509330601, 0.03035624828450989, 0.024339034586689623, 0.0789014553084082, 0.15855644725851592, 0.03165113259997954, 0.08877392414214391, 0.014107703752794798, 0.10025808396053226, 0.0035474831984794175, 0.0389051083748837, 0.04998702835239488, 0.021418825946423636, 0.05827562989149704, 0.022686489363010987, 0.09931191911815662, 0.3192164850786101, 0.13922127790697503, 0.17934848912616186, 0.031811835355946894, 0.005154636262010515, 0.012434570506986597, 0.020736692035150384, 0.032712947753424926, -0.008613354393807837, 0.05662402715175796, 0.009255393690137614, -0.0020147655222774175, 0.06267243626733188, 0.04817363304968025, 0.00018419776446498837, 0.03648256731866817, 0.020922799085276944, 0.010692875903451693, 0.057642972994166986, 0.039501764328014444, 0.008952146744525047, -0.0011568934233247008, 0.02964236640854434, 0.03241113804736262, 0.0, 0.01758616442615013, 0.008865897030563508, 0.0375821986140501, 0.0215226914351605, 0.02102183724017581, 0.04832355361766427, 0.018159230129247694, 0.03877271202734045, 0.00711237199785919, 0.05182159257550589, 0.050102416082211665, 0.018950900931483883, 0.03259361097858293, 0.04143029945202814, 0.019915908855563158, 0.02070822295335706, 0.0018285762755390067, 0.0, 0.0, 0.0, 0.03564308064070576, 0.06869562396262219, 0.0, 0.0, 0.008585019742555877, 0.15108008917308902, 0.10502527009992368, 0.0918927285601363, 0.0696758502428958, 0.15058087291291367, 0.06156208733122104, 0.036954168526387665, 0.07291834601745295, -0.013741127880563142]"
1085,12.111139860429885,28.49873459934006,"[0.1063919323051028, 0.016116176638933055, 0.15719072717075022, 0.17630123562965472, 0.04069853992165595, 0.010684613515717256, 0.1553234069262308, 0.033097854963856754, 0.03816719013240788, 0.012807366943075493, 0.11862906702073017, 0.011432391433380706, 0.3907454643893924, 0.057425861385876686, 0.06849056324790603, 0.2391752787931114, 0.016540691920227557, 0.006628714833367466, 0.09731761081974866, 0.05105241681435824, 0.06643745330923823, 0.009885437190079172, 0.01749669010557131, 0.028769251401506768, 0.0037223618297639316, 0.02142247106940398, 0.05981626598449763, 0.007536954599713042, 0.0693995962042433, 0.3471870583392431, 0.04932913488836044, 0.09170481700452915, 0.08069832353995254, 0.060046744473102764, 0.016994590812607013, 0.03235026613130576, 0.08701582425731158, 0.04912389242165194, 0.026097507908541706, 0.0, 0.0, 0.0, 0.04604518513389766, 0.03159080949091808, 0.04301917472944461, 0.01823713275651584, 0.05915374363429171, 0.006553227170253306, 0.004168971303706304, 0.02523908510434958, 0.02860914077001797, 0.07817941155997721, 0.007027226496935324, 0.08363143471082268, 0.0, 0.056005537818621054, 0.021923865719373214, -0.0035617531072328346, 0.024202133803984616, 0.009851896869854215, 0.05847454509558281, 0.037498560233525824, 0.03186600834236275, 0.01900987215935701, 0.14577933170541546, 0.031489166568219096, 0.03582887582897576, 0.04264491776031365, 0.045282183268950504, 0.013463793968231608, 0.018569093415315763, 0.008045776281531136, 0.0, 0.0, 0.0, 0.0052169960811778715, 0.029460526833275935, 0.0, 0.0, 0.066743311590858, 0.007979047343188439, 0.08348328407896988, 0.052147537233313335, 0.014101890738543732, 0.21031940762312962, 0.027652443870295418, 0.005044902838852172, 0.026400915320470952, 0.003366141193315908]"
1104,12.420969224510356,27.01412712364815,"[0.02680755423981873, 0.036524844858369265, 0.03279890188071888, 0.14841751416415372, 0.0, 0.5556768535511212, 0.017328381828263906, 0.010049742500004122, 0.050300032559292385, 0.49874635441223636, 0.023856901632937966, 0.04882285130551178, 0.16033855861181245, 0.02608670747079045, 0.24097865814065922, 0.1854461313175646, 0.020641242441713503, 0.02591127236956292, 0.1374764246721063, 0.05888155408711526, 0.4301885073304885, 0.040401367131885024, 0.0371136965492469, 0.06492358870298842, 0.057003211667501, 0.05442902106972203, 0.32680584151860614, 0.2454906080095176, 0.010796639858338342, -0.020305531701148793, 0.2844044446183722, 0.08470887809786154, 0.019015878316023027, 0.007923999888584943, 0.0029023637280591874, 0.0498109394065549, 0.00015133946140788446, 0.14482008429114135, 0.01210228302267824, 0.02185545490494123, 0.05442895369748313, 0.06105740906296786, 0.12014811431859651, 0.04150848771185789, -0.0072160309606879025, -0.008832991297910042, 0.0003379197808259793, 0.0009782477504729492, 0.07831154606591428, 0.0035656794098892775, 0.04214163925700154, 0.01073627981665215, -0.0038431894518758947, 0.12486270208412753, 0.0, -0.007767357350379589, 0.006210410671020794, 0.03319923754689036, 0.008169936735428873, 0.009930405015329269, 0.1112466300501811, -0.008561002028663722, 0.06442505984089042, 0.00042491617986928354, -0.0007340118132377338, -6.064301472752387e-05, 0.01159303437762893, 0.027463868734942443, 0.017248745014800226, -0.002881350774143643, 0.012417004521308783, -0.0033629878760872423, 0.0, 0.0, 0.0, 0.00037033432575106495, 0.02474283897933849, 0.0, 0.0, -0.004695596673958469, 0.0012690265246828591, 0.057152585711534476, -0.005330059154767142, 0.006453667744729552, 0.058832137388211914, 0.010461384776660365, 0.06359115224321799, 0.012047262020979055, 0.0010445776338521284]"
1108,13.404679081892986,47.193321575773915,"[0.022625877657863613, 0.06702830036042196, 0.04072830442484965, 0.03986506479680485, 0.09097861595595869, 0.010075360039681458, 0.02722723476204214, 0.08704587360960025, 0.025177399251075983, 0.05090415342176802, 0.022604279105839842, 0.2801398447731416, 0.09148103576188782, 0.03451534396792444, -0.00010334870820616349, -0.003816301752974427, -0.0006886905428454826, 0.016652870588274027, 0.05325936106899021, 0.10079583347087073, 0.007646448049742016, 0.024545822817969798, 0.07733765062459197, 0.00041581385180666786, 0.03396338031276036, 0.06966328039442948, 0.001158185597999406, 0.04509399284768323, 0.04765386014168671, 0.03579876628800749, 0.05771582272796438, 0.19627053174707432, 0.07321996648665108, 0.023135934888287135, 0.03785469915354267, 0.1112267235928428, 0.02471739682193519, 0.0065310174805224275, 0.01867138041284755, 0.0, 0.0, 0.0, 0.008427670985731606, 0.00651477548465218, -0.020745415904753428, 0.020866836376132847, 0.03779188552787338, 0.007991047741329194, 0.014991016322160267, 0.011159116211045372, 0.0006452427290986051, 0.006108720905422249, -0.0072132241264590835, 0.07810363926616204, 0.0, 0.0057045252454324125, 0.02110920834647101, 0.0009360542074550171, 0.050844587564318644, 0.016347573856800635, 0.0467925840356167, 0.007766353229297529, 0.01717984901248215, 0.00694445510908781, 0.011093253141169601, -0.009636500178444085, 0.007223732637887892, 0.029291612790851795, 0.033078469193171145, 0.04515213534559259, 0.05287338118827356, 0.015068155836508668, 0.0, 0.0, 0.0, 0.004446430719513561, 0.02277547389654977, 0.0, 0.0, 0.021211239407071147, 0.01639755880705751, 0.013175911225630443, 0.0223601849438122, 0.03035475186421044, 0.014246646331731672, 0.05109259978533087, 0.05663204556176571, 0.002358067763954974, -0.004260715068288512]"
1109,14.07096496688699,75.33599410926787,"[0.015371698632586472, 0.012634555668705971, -0.0010758891654409908, 0.19262146678084013, 0.0373451112566936, 0.019353071118468623, -0.0014532866147556334, 0.16600131582626387, 0.024019474885145442, 0.16369517808184786, 0.01955487865227501, 0.0118008714791904, 0.033955513323003395, 0.08005979075109915, 0.0031420687067607034, 0.057485849250151766, 0.0016681099745565753, 0.2153646135035472, 0.03372319102937249, 0.009055470469250038, 0.031127051485628776, 0.017593480105279058, 0.08057541236575272, 0.008472672565835948, 0.13486329398970565, 0.031128325404695456, 0.018067331262095365, 0.16481874842845223, 0.01946861120218535, 0.1578985654831513, 0.03851797746918906, 0.08999708349068825, 0.03306861336126432, 0.012750528578178377, 0.027448397842546823, 0.05991736626675759, 0.07072625061746107, 0.1008254788778622, 0.032895347260967656, 0.02890971589895197, -0.003760799321087971, 0.011287415482756247, 0.03193808958689526, 0.06809335376723835, 0.009485622787300363, 0.004509040786812468, 0.012461438259014024, 0.00989782988525545, 0.1773584210632344, 0.0048812093828976, 0.032921327142127366, -0.007170384845598177, 0.009003816849598945, 0.05517997938989416, 0.0, 0.012060580895774331, 0.034823187596558336, 0.08677232501838628, 0.013938723926814722, 0.00880800464696474, -0.0013714179961750173, 0.058254904030722754, 0.05653009487346794, 0.016196680109000328, -0.0013690374607068234, 0.04768761895283524, -0.002283171476209156, -0.01055311688577476, 0.019503166445812292, 0.010013757091749342, 0.041653154269756465, 0.02847005558126603, 0.0, 0.0, 0.0, 0.042775206162410484, 0.024296514648984413, 0.0, 0.0, 0.006485474161187055, 0.04895221380149217, 0.012595592730940908, 0.02612409987690234, 0.011549420909580999, 0.03320908766600095, 0.012805239208612207, 0.11127811142395583, 0.04578227152434855, 0.022238315929323793]"
1420,14.141099263548595,60.69199000812816,"[0.03271153642867275, 0.009903017414017112, 0.017736726719531415, 0.10382777987548453, 0.09180504484588226, 0.07685145707960106, 0.1562902559148871, 0.08057897696224026, 0.05398782967957971, 0.12086114745152665, 0.1353114734983929, 0.23028650886754076, 0.03242196582897017, 0.03696712459518792, 0.02166409858933971, 0.05084455451075098, 0.1453228643764446, 0.11729322784915319, -0.0017076099168057413, 0.11071499405918361, 0.010323610245615233, 0.0343728664587426, 0.3970308749700293, -0.00952447684357205, 0.09475000859694371, 0.10628080954960395, 0.2758920765610915, 0.012953617175953003, 0.15059815236021645, 0.06292713350552925, 0.014852685637625429, 0.01939580427252663, 0.15396955122198897, 0.02242786623031323, 0.03088169368112159, 0.0005738664643326619, 0.11472211050458236, 0.020785064757899985, 0.058892278821078836, 0.0, 0.0, 0.0, 0.2229640057118909, 0.037703183691098596, 0.013898948183066029, 0.010632294085510585, 0.003691274885077256, 0.03037212208166551, 0.05562922957954397, -0.01602298229770749, 0.015543167864291663, 0.31887371077825244, 0.021004999104503375, 0.009532548170664068, 0.36952812343273056, 0.010533161276996994, 0.0061046797883246295, 0.11094473311978126, 0.010610199192064185, 0.0017609783017724645, -0.028625418992391016, 0.017884844125077848, 0.027752413237148055, 0.05272248207252872, 0.013505377554830833, 0.010647205459701548, 0.006751797896561218, 0.21147498548376142, 0.004441367245387795, -0.010012932496388793, 0.003295639229112579, 0.12517646730339282, 0.0, 0.039268019023998235, 0.043340736949902814, 0.063676872293702, 0.0027368522394295436, 0.0, 0.11257082139538266, 0.01992227688573389, 0.13555212972638464, 0.10658583802081512, 0.046467245844926675, -0.0038087485230650087, 0.13483023559565255, -0.017147455140687273, 0.0061637070066371535, 0.058060416489673194, 0.04379262172445797]"
1440,10.17951369334038,53.30806378691353,"[0.0316402732660892, 0.0288482834369852, 0.07840898568404508, 0.012945501193974307, 0.006125809761137857, 0.022595099428615262, 0.019038293275430496, 0.2549807626128868, 0.12347001297672322, 0.15493701140878802, 0.09037730322014847, -0.012231530149673153, 0.16396245951364574, 0.07122850167828232, 0.16750158807349447, 0.01792651920161048, 0.02809393662755366, 0.04678973727774283, 0.10133785377737903, 0.08305350359528907, 0.16661899953481396, 0.01484971118556122, 0.04990605780749924, 0.06821639346094877, 0.2520558773627004, 0.06146373510565972, 0.04541315128811729, 0.41153257471709126, 0.07196909656063544, 0.01973109312327459, 0.21470376815123826, 0.18798283206613076, 0.023722278231125715, 0.0031994878851491215, 0.06345386140162024, 0.09081782420272932, 0.08151272670900744, -0.009904117614646268, 0.04007451688068264, 0.0, 0.0, 0.0, 0.5819332595525195, 0.10729937934927158, 0.12276657882522013, 0.01875861966441672, 0.22522556773038072, 0.038435444350018555, 0.03165985912182845, 0.006363500840541159, 0.03764704226762827, 0.16516864057329506, 0.021907010709455, 0.004263797554338478, 0.3470882033444056, 0.16580397412636727, -0.008615937297046572, 0.0033542254758618384, 0.14710372221578938, 0.026003035314367207, 0.39689494647774404, 0.04995882057148604, 0.0014722886783919975, -0.007623961567227888, 0.006452012339511981, 0.16694132450933474, 0.070792343325355, 0.13565343704440358, 0.05316912907046345, 0.015056700782492216, 0.005291584145695749, 0.260733731899381, 0.0, 0.3181171915319825, 0.20627785634551787, -0.006928207466478931, 0.33592343758875853, 0.0, 0.02712542215758007, 0.017277622295326145, 0.038971232518518084, 0.1585149129656358, 0.28966687467561014, 0.016118817091197224, 0.006793121200940444, 0.08914153283294657, 0.1379274743101535, 0.006945456510258907, 0.04049805656622407]"
1453,12.873599457498157,22.009413458000687,"[0.006368737024093463, 0.07778492955915062, 0.008429915189474224, 0.03797467745905836, 0.007603704689784774, 0.025056070157901678, 0.04034696514509806, 0.06263986227054508, 0.008541630463544392, 0.02022782744246565, 0.290953036913594, 0.04296775479705173, 0.022034542201278873, 0.3088774157813443, 0.2805663437448864, 0.06869866540209313, 0.04851334152115894, 0.1335282581338979, 0.008264139342817556, 0.028551009987816567, 0.14571530040373748, 0.09873227373040727, 0.06908285458035812, 0.0010256991852468644, 0.002200096827346787, 0.13087614074396847, 0.021023186452712173, 0.04342092039308154, 0.18308552095292363, 0.029645636914075624, 0.08350447303979669, 0.1422855052179568, 0.007206865823184527, 0.13789468108384084, 0.005405599394364247, 0.13828379283175085, -0.0017621938054784847, 0.00047402803463292287, 0.03488353403808442, 0.0, 0.0, 0.0, 0.07003446972189642, -0.0028142000745695617, 0.004480017518919466, 0.016801230520839594, 0.13351705838249495, 0.025178192744705896, 0.0012202537162746552, 0.00032997627204012225, -0.003222459366804209, -0.014692463826818991, -0.018985417410975813, 0.03375104230669557, 0.22607459994353785, 0.008251480106769016, 0.011293091498406849, 0.024373522984574736, 0.03622515110915159, -0.015208072343644186, 0.10737263365644156, 0.007633712112777857, 0.06368872096066314, 0.02894743927547805, -0.007318910183380267, 0.1379419089209668, -0.0019068056275620693, -0.021175504385490762, 0.0020745890773643527, -0.008126415514769558, 0.004605098886715675, -0.004173586875507063, 0.0, 0.011186907762465559, 0.018059190612742526, 0.008728999225849687, 0.03477147924721535, 0.0, 0.006341241894495031, 0.015569829222744191, -0.0134243683462697, 0.040481983705543456, 0.04586197875371245, -0.0024507093350355502, 0.19177773130283016, 0.02679890879331781, -0.0026016326820172964, 0.038463631034977075, 0.005268718613324452]"
