zip,RMSE_train,RMSE_test,forecast
1013,34.020682341052655,63.47248488351073,"[1087.4251887588694, 1043.7489084299987, 1046.998204135865, 1033.2017366482935, 1086.1304188523102, 1080.6036829085836, 1084.3683884745437, 1083.550137508088, 1086.0830087925149, 1089.721721459487, 1076.6641306106662, 1077.8304790451068]"
1020,23.635229889979986,76.15889556326859,"[1084.924198857515, 1042.1987420533596, 1051.3476661174288, 1046.133624305461, 1108.7448161514062, 1109.3795884233307, 1110.9646586360686, 1107.1980598050584, 1089.1534484794315, 1108.7350340156997, 1112.890797465203, 1117.399846984774]"
1040,21.93413995989109,102.54197856283872,"[1072.1356723793278, 1034.9852631551626, 1025.9066743724527, 1030.963448339664, 1034.486806704459, 1041.6251457688038, 1030.6845250929964, 1038.0376115585905, 1015.225952091308, 1022.375467128481, 1009.8147242236721, 1058.2457941781727]"
1085,51.98124685410247,123.75754723471785,"[1093.7536758318386, 1022.4145653118836, 1042.061758374014, 1027.982035865, 1086.9023967561209, 1086.6800904092872, 1087.1046929285233, 1083.9869161269694, 1058.1180130878465, 1082.8943398647466, 1076.5178129732758, 1082.9150813882784]"
1104,41.90370279474801,92.12963555035356,"[1105.147355115, 1055.5721575272953, 1051.5767942207715, 1047.4639391753394, 1070.5635241404725, 1067.1587409346973, 1074.1177011611876, 1071.4185732422134, 1050.05342810971, 1049.565384489237, 1025.2438510861484, 1073.460681003512]"
1108,48.935082826178586,93.03082501006119,"[1133.1759762373556, 1088.545867844668, 1107.3432119860827, 1110.214001796912, 1126.9511677863038, 1119.3500541018386, 1126.5671263087916, 1129.6556563365266, 1141.7207544730131, 1136.120777526619, 1107.281789455694, 1101.7489467282512]"
1109,37.30928185433468,73.51113103592364,"[1113.4219847470354, 1116.3290598338174, 1117.091209068828, 1115.7935628148734, 1123.7790332569405, 1132.6303298696514, 1141.003775421185, 1153.711401091384, 1126.4113613352074, 1137.4570857785827, 1101.561413171506, 1140.760591698444]"
1420,32.29501433511728,84.80507199843055,"[1227.2613537913885, 1208.0454949554955, 1205.7276857427423, 1206.13860209134, 1215.8287881642423, 1219.5016926989, 1224.2392778962278, 1221.4823697479105, 1231.7885874864362, 1224.3799953066723, 1225.4370622338931, 1228.1944558783007]"
1440,51.763588629307236,69.33722550654088,"[1167.443412604245, 1162.749035608604, 1163.743517061291, 1159.4618879337302, 1158.2224079053174, 1159.5389094342513, 1164.2695246419485, 1159.5888033185006, 1165.759321265397, 1163.3522302464494, 1162.3748662926619, 1159.2907176373449]"
1453,29.033623377139318,83.34005656217298,"[1250.0697534307444, 1237.4950654307167, 1235.5644983302377, 1228.9590289106966, 1230.7451328164705, 1235.5026045386846, 1241.9938452886076, 1238.1860439156487, 1250.776865739736, 1245.8723620694384, 1243.9960693501437, 1243.9335301079027]"
1545,44.31996144827342,65.7554348526108,"[1531.91078853588, 1518.9271946710774, 1521.3918022632088, 1514.9331196536316, 1521.575266146653, 1522.5240344015954, 1527.0871912166106, 1525.5349828597568, 1545.6082920438052, 1537.4573798187976, 1541.9491797954936, 1541.6990759759346]"
1550,49.074309068801455,49.98669484018439,"[1194.0748371234963, 1182.0934580605008, 1185.5508453377752, 1184.075726391569, 1188.9241195958537, 1187.3955095190097, 1189.293524029729, 1184.7294062145102, 1193.9816862068835, 1186.155349080103, 1187.3446628986405, 1185.1818073732363]"
1602,29.430995352532253,70.835713811188,"[1340.4505309503786, 1335.5579197651664, 1334.910464014687, 1326.2009301166975, 1326.4140456600292, 1326.6454079996063, 1330.985786362605, 1329.0422699762726, 1343.152357880115, 1334.0547367110917, 1336.7791368906546, 1336.475315349792]"
1603,25.39435410017782,78.31610502858453,"[1255.4574214762492, 1245.4850595540834, 1243.2354214604063, 1236.1388443506885, 1241.2286627507297, 1239.9753116070976, 1244.3878282349604, 1245.3988660868495, 1259.7234468424863, 1255.6264041678587, 1257.5379493217797, 1256.4710838437445]"
1604,24.95236104408662,89.33742976213341,"[1283.0396079590776, 1265.0489674683517, 1264.3826752005152, 1263.7788348841455, 1271.354624435237, 1275.7118035672393, 1281.8936347345423, 1278.875776959421, 1286.9256837498313, 1287.4992900826246, 1281.1733250144946, 1285.5468960110616]"
1605,31.86716355398749,86.8284697840685,"[1251.8193858330653, 1234.8429511045463, 1232.5280797121932, 1230.0206776579505, 1237.6596248332783, 1236.2839233866307, 1242.2677281822298, 1242.4102896747415, 1249.940955846383, 1251.8178388369445, 1250.0227237230156, 1258.3411948432522]"
1610,29.337603207234153,74.73720111957758,"[1273.7268256709879, 1262.2428877375182, 1257.3688217667209, 1247.6704409043743, 1252.9166382540914, 1252.2367679783551, 1258.9737506843542, 1256.5813692262884, 1268.4798018767854, 1261.799227126679, 1262.4358638089707, 1259.0380854660118]"
1702,60.36619725668079,90.26012557524335,"[2290.4855165116646, 2277.3681941662994, 2281.3798452267165, 2268.1788120327014, 2266.7055161395415, 2272.6697120600465, 2274.353018395379, 2268.3059196930244, 2284.4226929142005, 2279.5897439395467, 2277.236422629926, 2277.314414116062]"
1752,39.050233206901055,104.01302198060871,"[2049.271982554719, 2025.7933724385102, 2022.4367128487756, 2017.6814789155194, 2021.2394286430422, 2029.958691574529, 2038.5286861440452, 2041.5520654322877, 2079.280910536424, 2059.4573224044116, 2063.8567533839714, 2051.3371918530925]"
1757,27.762174743523946,38.94403460179085,"[1470.0030265260145, 1464.7811637031027, 1466.4578653320204, 1462.5063872792462, 1465.6709888424002, 1465.556960765152, 1471.0114527174187, 1469.7946488940456, 1484.000097649582, 1476.3006704106037, 1482.096853093766, 1484.517192649314]"
1760,70.77846792876505,93.78009197722709,"[2377.5356279189136, 2358.4677165695302, 2361.9797803657643, 2351.994913116531, 2350.440765306203, 2354.5854405266364, 2364.152100476911, 2363.1724563027396, 2385.060777335791, 2371.221586073556, 2370.356861067726, 2365.857901732187]"
