,Feature,Importance
0,zri_lag1,0.9733502497025894
5,zri_diff_lag1_lag2,0.6238789366585483
4,zri_lag5,0.0036929212347964016
2,zri_lag3,-0.0
3,zri_lag4,0.0
1,zri_lag2,-0.0051922968205927395
6,zri_diff_lag2_lag3,-0.009767461541882896
8,zri_diff_lag4_lag5,-0.030385056361600413
9,zri_diff_lag5_lag6,-0.05445430031917033
7,zri_diff_lag3_lag4,-0.0669424928394129
