iter	Passed	Remaining
423	2114	2873
424	2120	2868
425	2124	2863
426	2129	2858
427	2134	2852
428	2139	2847
429	2143	2841
430	2149	2837
431	2154	2832
432	2159	2827
433	2163	2821
434	2169	2817
435	2173	2811
436	2178	2806
437	2182	2800
438	2187	2794
439	2192	2789
440	2196	2784
441	2202	2780
442	2206	2774
443	2212	2770
444	2217	2765
445	2221	2759
446	2226	2754
447	2231	2749
448	2236	2744
449	2241	2739
450	2245	2733
451	2250	2728
452	2254	2722
453	2259	2716
454	2263	2711
455	2268	2705
456	2272	2700
457	2277	2695
458	2281	2689
459	2286	2683
460	2289	2677
461	2294	2672
462	2298	2666
463	2303	2660
464	2307	2655
465	2312	2649
466	2316	2643
467	2321	2638
468	2325	2633
469	2330	2628
470	2334	2622
471	2340	2617
472	2345	2613
473	2349	2607
474	2354	2602
475	2358	2596
476	2363	2591
477	2368	2586
478	2373	2581
479	2378	2576
480	2382	2571
481	2387	2565
482	2392	2560
483	2396	2555
484	2401	2549
485	2406	2545
486	2411	2539
487	2415	2534
488	2420	2529
489	2424	2523
490	2429	2518
491	2433	2513
492	2438	2507
493	2442	2502
494	2447	2496
495	2452	2491
496	2456	2486
497	2461	2480
498	2465	2475
499	2470	2470
500	2475	2465
501	2479	2459
502	2483	2454
503	2488	2449
504	2493	2443
505	2498	2438
506	2502	2433
507	2507	2428
508	2511	2422
509	2515	2417
510	2520	2411
511	2524	2406
512	2528	2400
513	2533	2395
514	2537	2389
515	2541	2383
516	2545	2378
517	2550	2373
518	2555	2367
519	2559	2362
520	2564	2357
521	2569	2352
522	2573	2347
523	2578	2342
524	2583	2337
525	2587	2331
526	2591	2326
527	2596	2320
528	2600	2315
529	2604	2310
530	2609	2304
531	2614	2299
532	2618	2294
533	2623	2289
534	2628	2284
535	2633	2279
536	2637	2274
537	2642	2269
538	2647	2264
539	2651	2258
540	2656	2254
541	2661	2248
542	2666	2243
543	2670	2238
544	2675	2233
545	2680	2228
546	2685	2223
547	2690	2218
548	2695	2214
549	2701	2210
550	2706	2205
551	2712	2201
552	2716	2196
553	2721	2190
554	2726	2186
555	2731	2181
556	2735	2175
557	2740	2171
558	2745	2166
559	2750	2161
560	2755	2156
561	2760	2151
562	2764	2145
563	2769	2140
564	2774	2136
565	2779	2130
566	2783	2125
567	2788	2120
568	2793	2115
569	2798	2111
570	2803	2106
571	2808	2101
572	2813	2096
573	2817	2091
574	2822	2086
575	2827	2081
576	2831	2076
577	2836	2070
578	2840	2065
