ZIPCODE,year,state_local_perc,month
01013,2012,,1
01013,2012,,2
01013,2012,,3
01013,2012,,4
01013,2012,,5
01013,2012,,6
01013,2012,,7
01013,2012,,8
01013,2012,,9
01013,2012,,10
01013,2012,,11
01013,2012,0.18015516749266977,12
01013,2013,0.17991499300983488,1
01013,2013,0.17967481852699999,2
01013,2013,0.1794346440441651,3
01013,2013,0.1791944695613302,4
01013,2013,0.1789542950784953,5
01013,2013,0.1787141205956604,6
01013,2013,0.1784739461128255,7
01013,2013,0.1782337716299906,8
01013,2013,0.1779935971471557,9
01013,2013,0.17775342266432081,10
01013,2013,0.17751324818148592,11
01013,2013,0.17727307369865103,12
01013,2014,0.1767928311356846,1
01013,2014,0.17631258857271817,2
01013,2014,0.17583234600975176,3
01013,2014,0.17535210344678534,4
01013,2014,0.1748718608838189,5
01013,2014,0.17439161832085248,6
01013,2014,0.17391137575788607,7
01013,2014,0.17343113319491962,8
01013,2014,0.1729508906319532,9
01013,2014,0.1724706480689868,10
01013,2014,0.17199040550602035,11
01013,2014,0.17151016294305393,12
01013,2015,0.17148308259399533,1
01013,2015,0.1714560022449367,2
01013,2015,0.1714289218958781,3
01013,2015,0.1714018415468195,4
01013,2015,0.17137476119776088,5
01013,2015,0.17134768084870228,6
01013,2015,0.17132060049964368,7
01013,2015,0.17129352015058505,8
01013,2015,0.17126643980152645,9
01013,2015,0.17123935945246785,10
01013,2015,0.17121227910340922,11
01013,2015,0.17118519875435062,12
01013,2016,0.17061369174591662,1
01013,2016,0.17004218473748262,2
01013,2016,0.1694706777290486,3
01013,2016,0.16889917072061458,4
01013,2016,0.16832766371218058,5
01013,2016,0.16775615670374658,6
01013,2016,0.16718464969531258,7
01013,2016,0.16661314268687857,8
01013,2016,0.16604163567844454,9
01013,2016,0.16547012867001054,10
01013,2016,0.16489862166157654,11
01013,2016,0.16432711465314254,12
01013,2017,0.16459930501422876,1
01013,2017,0.16487149537531498,2
01013,2017,0.1651436857364012,3
01013,2017,0.16541587609748742,4
01013,2017,0.16568806645857365,5
01013,2017,0.16596025681965987,6
01013,2017,0.16623244718074606,7
01013,2017,0.16650463754183228,8
01013,2017,0.1667768279029185,9
01013,2017,0.16704901826400473,10
01013,2017,0.16732120862509095,11
01013,2017,0.16759339898617717,12
01013,2018,0.15757313867565972,1
01013,2018,0.14755287836514228,2
01013,2018,0.1375326180546248,3
01013,2018,0.12751235774410735,4
01013,2018,0.1174920974335899,5
01013,2018,0.10747183712307246,6
01013,2018,0.097451576812555,7
01013,2018,0.08743131650203755,8
01013,2018,0.0774110561915201,9
01013,2018,0.06739079588100264,10
01013,2018,0.05737053557048519,11
01013,2018,0.047350275259967746,12
01020,2012,,1
01020,2012,,2
01020,2012,,3
01020,2012,,4
01020,2012,,5
01020,2012,,6
01020,2012,,7
01020,2012,,8
01020,2012,,9
01020,2012,,10
01020,2012,,11
01020,2012,0.19772241806340013,12
01020,2013,0.19719362008549104,1
01020,2013,0.19666482210758196,2
01020,2013,0.19613602412967288,3
01020,2013,0.1956072261517638,4
01020,2013,0.1950784281738547,5
01020,2013,0.19454963019594562,6
01020,2013,0.19402083221803657,7
01020,2013,0.19349203424012748,8
01020,2013,0.1929632362622184,9
01020,2013,0.1924344382843093,10
01020,2013,0.19190564030640023,11
01020,2013,0.19137684232849114,12
01020,2014,0.19122635216868633,1
01020,2014,0.19107586200888152,2
01020,2014,0.1909253718490767,3
01020,2014,0.19077488168927187,4
01020,2014,0.19062439152946706,5
01020,2014,0.19047390136966225,6
01020,2014,0.19032341120985743,7
01020,2014,0.19017292105005262,8
01020,2014,0.19002243089024778,9
01020,2014,0.18987194073044297,10
01020,2014,0.18972145057063816,11
01020,2014,0.18957096041083335,12
01020,2015,0.18900594688414155,1
01020,2015,0.18844093335744977,2
01020,2015,0.18787591983075796,3
01020,2015,0.18731090630406616,4
01020,2015,0.18674589277737438,5
01020,2015,0.18618087925068258,6
01020,2015,0.18561586572399077,7
01020,2015,0.185050852197299,8
01020,2015,0.1844858386706072,9
01020,2015,0.1839208251439154,10
01020,2015,0.1833558116172236,11
01020,2015,0.1827907980905318,12
01020,2016,0.18270729864221935,1
01020,2016,0.1826237991939069,2
01020,2016,0.18254029974559444,3
01020,2016,0.182456800297282,4
01020,2016,0.18237330084896955,5
01020,2016,0.1822898014006571,6
01020,2016,0.18220630195234463,7
01020,2016,0.18212280250403218,8
01020,2016,0.18203930305571975,9
01020,2016,0.1819558036074073,10
01020,2016,0.18187230415909483,11
01020,2016,0.18178880471078238,12
01020,2017,0.18156961147770762,1
01020,2017,0.18135041824463285,2
01020,2017,0.1811312250115581,3
01020,2017,0.18091203177848333,4
01020,2017,0.18069283854540857,5
01020,2017,0.18047364531233379,6
01020,2017,0.18025445207925903,7
01020,2017,0.18003525884618427,8
01020,2017,0.1798160656131095,9
01020,2017,0.17959687238003474,10
01020,2017,0.17937767914695998,11
01020,2017,0.17915848591388522,12
01020,2018,0.16817359183915948,1
01020,2018,0.15718869776443375,2
01020,2018,0.146203803689708,3
01020,2018,0.13521890961498229,4
01020,2018,0.12423401554025654,5
01020,2018,0.1132491214655308,6
01020,2018,0.10226422739080507,7
01020,2018,0.09127933331607933,8
01020,2018,0.0802944392413536,9
01020,2018,0.06930954516662786,10
01020,2018,0.05832465109190213,11
01020,2018,0.047339757017176375,12
01040,2012,,1
01040,2012,,2
01040,2012,,3
01040,2012,,4
01040,2012,,5
01040,2012,,6
01040,2012,,7
01040,2012,,8
01040,2012,,9
01040,2012,,10
01040,2012,,11
01040,2012,0.19191034845035895,12
01040,2013,0.19153649259299074,1
01040,2013,0.19116263673562253,2
01040,2013,0.19078878087825432,3
01040,2013,0.1904149250208861,4
01040,2013,0.1900410691635179,5
01040,2013,0.18966721330614972,6
